feature_set,feature_count,model,fold,metric_scope,class_label,rows,accuracy,balanced_accuracy,macro_f1,precision,recall,f1,support,train_rows,test_rows,train_groups,test_groups,group_overlap_count
compact13,13,dummy_most_frequent,5,class,activity,35,,,,0.0,0.0,0.0,9,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
compact13,13,logistic_balanced,5,overall,all,35,0.5428571428571428,0.5104166666666666,0.4833333333333333,0.525,0.5104166666666666,0.4833333333333333,35,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
compact13,13,logistic_balanced,5,class,normal,35,,,,0.3333333333333333,0.5,0.4,6,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
compact13,13,logistic_balanced,5,class,fault,35,,,,0.6,0.75,0.6666666666666666,12,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
compact13,13,logistic_balanced,5,class,task,35,,,,0.5,0.125,0.2,8,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
compact13,13,logistic_balanced,5,class,activity,35,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,dummy_most_frequent,1,overall,all,37,0.35135135135135137,0.25,0.13,0.08783783783783784,0.25,0.13,37,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,dummy_most_frequent,1,class,normal,37,,,,0.0,0.0,0.0,5,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,dummy_most_frequent,1,class,fault,37,,,,0.35135135135135137,1.0,0.52,13,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,dummy_most_frequent,1,class,task,37,,,,0.0,0.0,0.0,7,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,dummy_most_frequent,1,class,activity,37,,,,0.0,0.0,0.0,12,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,logistic_balanced,1,overall,all,37,0.5405405405405406,0.4897435897435898,0.4456486042692939,0.4378472222222222,0.48974358974358967,0.4456486042692939,37,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
