dataset_id,feature,sensor,stat,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_coefficient_std,rank_abs_coefficient
strict_no_event20_event67,outdoor_temperature__median,outdoor_temperature,median,-0.19914103841479694,0.05075702636551357,0.19914103841479694,0.05075702636551357,26
strict_no_event20_event67,p_net_supply_temperature__std,p_net_supply_temperature,std,-0.053844508531340894,0.2819998940813304,0.1989366543214886,0.18351631697160972,27
strict_no_event20_event67,p_net_supply_temperature__max,p_net_supply_temperature,max,0.11960697179666588,0.22328730128769764,0.18995274512388827,0.15045579689456143,28
strict_no_event20_event67,p_net_meter_flow__std,p_net_meter_flow,std,-0.11467229692929519,0.22627204894235556,0.1877249148847502,0.15357540542275613,29
strict_no_event20_event67,p_net_meter_energy__last_minus_first,p_net_meter_energy,last_minus_first,0.1638809487687117,0.12851785090981943,0.1849599690266465,0.08558800754908619,30
strict_no_event20_event67,s_hc1_supply_temperature_setpoint__std,s_hc1_supply_temperature_setpoint,std,-0.18122559180043596,0.08583851569948828,0.18122559180043596,0.08583851569948828,31
strict_no_event20_event67,s_hc1_supply_temperature_setpoint__mean,s_hc1_supply_temperature_setpoint,mean,0.1796550786718874,0.11444280725948894,0.1796550786718874,0.11444280725948894,32
strict_no_event20_event67,p_hc1_return_temperature__max,p_hc1_return_temperature,max,0.08884023014034642,0.22197157761761777,0.1741808806160425,0.145648173414795,33
strict_no_event20_event67,outdoor_temperature__min,outdoor_temperature,min,0.17234135333835765,0.14624193762753007,0.17234135333835765,0.14624193762753007,34
strict_no_event20_event67,outdoor_temperature__std,outdoor_temperature,std,-0.0873165727781244,0.19092987136395836,0.1714741783531523,0.09607394719092015,35
strict_no_event20_event67,p_net_return_temperature__median,p_net_return_temperature,median,-0.000768214965813796,0.21339799264958503,0.1628245372965515,0.11135373153769632,36
strict_no_event20_event67,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.1343466669648577,0.15383195892754634,0.1581106712896874,0.12237983810088904,37
strict_no_event20_event67,p_net_meter_volume__std,p_net_meter_volume,std,0.15775227850446008,0.09368792144327147,0.15775227850446008,0.09368792144327147,38
strict_no_event20_event67,p_net_supply_temperature__mean,p_net_supply_temperature,mean,0.1401458659833666,0.1325822753682495,0.15650733276957926,0.107289132342457,39
strict_no_event20_event67,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint,last_minus_first,0.015467887010877535,0.1920937461892657,0.15509373104380902,0.08444817922484117,40
strict_no_event20_event67,p_net_meter_heat_power__std,p_net_meter_heat_power,std,-0.019576044326780194,0.19805721444901175,0.1512730744553093,0.10536250882408302,41
strict_no_event20_event67,p_net_meter_energy__min,p_net_meter_energy,min,-0.14791417932634718,0.06791453584048589,0.14791417932634718,0.06791453584048589,42
strict_no_event20_event67,p_net_meter_energy__median,p_net_meter_energy,median,-0.14760300055588912,0.06783527767617348,0.14760300055588912,0.06783527767617348,43
strict_no_event20_event67,s_hc1_supply_temperature__median,s_hc1_supply_temperature,median,-0.10350676370753027,0.13615572657893746,0.14752632274724536,0.06874172435712532,44
strict_no_event20_event67,p_net_meter_energy__mean,p_net_meter_energy,mean,-0.14738857513727785,0.06791966007010616,0.14738857513727785,0.06791966007010616,45
strict_no_event20_event67,p_net_meter_energy__max,p_net_meter_energy,max,-0.14654562081944736,0.06806035003630372,0.14654562081944736,0.06806035003630372,46
strict_no_event20_event67,s_hc1_supply_temperature__mean,s_hc1_supply_temperature,mean,-0.11725434851157177,0.10621366829469288,0.1412344945583679,0.05943982732360012,47
strict_no_event20_event67,p_net_meter_flow__mean,p_net_meter_flow,mean,0.136549884796457,0.06662374542941155,0.136549884796457,0.06662374542941155,48
strict_no_event20_event67,s_hc1_supply_temperature__std,s_hc1_supply_temperature,std,0.02684501277785422,0.15197814406473475,0.1244697507299238,0.06806082649882757,49
strict_no_event20_event67,p_net_return_temperature__max,p_net_return_temperature,max,-0.007211197930708213,0.16031795742132313,0.11189147657285385,0.10058439754342174,50
strict_no_event20_event67,p_net_meter_flow__median,p_net_meter_flow,median,0.09624798891189941,0.09472016899703255,0.10971311979515899,0.0741976671319534,51
strict_no_event20_event67,p_net_return_temperature__mean,p_net_return_temperature,mean,0.006601408978732548,0.16969356980500533,0.10933091032361131,0.1179356644258212,52
strict_no_event20_event67,s_hc1_supply_temperature_setpoint__max,s_hc1_supply_temperature_setpoint,max,-0.037757887988609205,0.11502898974016323,0.10688380807137474,0.02708423116030686,53
strict_no_event20_event67,p_net_meter_volume__last_minus_first,p_net_meter_volume,last_minus_first,0.09386874964168816,0.0658008484995905,0.09892539299156447,0.05577757290537243,54
strict_no_event20_event67,outdoor_temperature__mean,outdoor_temperature,mean,-0.03558101003268806,0.09893169941317437,0.08742717984922578,0.0426098788073307,55
strict_no_event20_event67,p_net_meter_volume__min,p_net_meter_volume,min,-0.04675564746261386,0.08716539985907906,0.07917128488890765,0.049953024993014225,56
strict_no_event20_event67,p_net_meter_volume__mean,p_net_meter_volume,mean,-0.04667816285626682,0.08704013658919756,0.0790330328933971,0.049917668481214095,57
strict_no_event20_event67,p_net_meter_volume__median,p_net_meter_volume,median,-0.0468864453090978,0.08690732035416741,0.07902646020186385,0.04994325788582172,58
strict_no_event20_event67,p_net_meter_volume__max,p_net_meter_volume,max,-0.0463091160001504,0.08704916126548026,0.0789014106142725,0.04976377710509201,59
strict_no_event20_event67,p_net_supply_temperature__median,p_net_supply_temperature,median,0.01214570045889391,0.07552404567089371,0.056820146680507985,0.04304204558397121,60
strict_no_event20_event67,p_net_meter_energy__missing_rate,p_net_meter_energy,missing_rate,0.009923794141355392,0.05354987264866724,0.042001608674476255,0.0280271664520993,61
strict_no_event20_event67,p_net_meter_flow__missing_rate,p_net_meter_flow,missing_rate,0.009923794141355392,0.05354987264866724,0.042001608674476255,0.0280271664520993,62
strict_no_event20_event67,p_net_meter_heat_power__missing_rate,p_net_meter_heat_power,missing_rate,0.009923794141355392,0.05354987264866724,0.042001608674476255,0.0280271664520993,63
