dataset_id,feature,mean_coefficient,mean_abs_coefficient,std_coefficient
fault_event_no_event67,s_hc1_supply_temperature_setpoint__std,-0.4516238018853912,0.4516238018853912,0.14505393110257433
fault_event_no_event67,p_hc1_return_temperature__last_minus_first,-0.4440546038427975,0.4440546038427975,0.04752563740434901
fault_event_no_event67,s_hc1_supply_temperature__std,-0.3809310527758329,0.42691320599286664,0.4469495221565365
fault_event_no_event67,outdoor_temperature__last_minus_first,0.23653348126138826,0.4143955945221364,0.5818134831669822
fault_event_no_event67,p_net_meter_heat_power__max,0.40612345609297346,0.4094890350218172,0.3340385830171265
fault_event_no_event67,outdoor_temperature__max,0.38456172986297976,0.4042775280236697,0.2637437091142542
fault_event_no_event67,s_hc1_supply_temperature_setpoint__median,-0.3827577934451409,0.3827577934451409,0.25737241854158605
fault_event_no_event67,p_net_return_temperature__max,0.26729459461914823,0.38126379727145054,0.3341656186388534
fault_event_no_event67,p_net_supply_temperature__max,-0.21693634493215433,0.3779160994499149,0.40287348163314535
fault_event_no_event67,p_hc1_return_temperature__max,0.1925388600778795,0.36368071030616156,0.406300726574384
fault_event_no_event67,s_hc1_supply_temperature__last_minus_first,0.20090391032595933,0.35388648134222395,0.44737082697169045
fault_event_no_event67,p_net_meter_heat_power__min,0.15221917946772306,0.3418050565248375,0.4381671439366809
fault_event_no_event67,outdoor_temperature__min,-0.27515389760718295,0.3075562004389414,0.24291752430560223
fault_event_no_event67,p_net_meter_heat_power__std,-0.2959323989765202,0.29870923738654753,0.2817011186046875
fault_event_no_event67,p_net_supply_temperature__std,-0.29213996529015007,0.29213996529015007,0.15182886732716844
fault_event_no_event67,outdoor_temperature__median,-0.28514384121152403,0.28514384121152403,0.15928433507151835
fault_event_no_event67,s_hc1_supply_temperature__min,-0.11897243836848545,0.2845031401631126,0.395654089226588
fault_event_no_event67,p_net_meter_flow__mean,0.24785394585622905,0.24785394585622905,0.010218097867358295
fault_event_no_event67,p_net_meter_flow__median,0.22030801149199242,0.22030801149199242,0.0663821416456511
fault_event_no_event67,s_hc1_supply_temperature_setpoint__max,-0.1838021488938485,0.2159042297117654,0.2076443131850302
fault_event_no_event67,outdoor_temperature__mean,-0.21007133836882383,0.21007133836882383,0.16442095275967228
fault_event_no_event67,p_net_return_temperature__mean,-0.12017807545855437,0.20597397414774626,0.2510570153365749
fault_event_no_event67,outdoor_temperature__std,0.03139565340193391,0.1982177638488501,0.2769914977844003
fault_event_no_event67,p_net_return_temperature__median,-0.025425787182527537,0.18306029680663585,0.25024304842190764
fault_event_no_event67,p_net_meter_flow__max,0.012086907969953608,0.17789036869995073,0.2696441719804855
fault_event_no_event67,p_net_meter_volume__std,0.17682422598970313,0.17682422598970313,0.07172457075396231
fault_event_no_event67,s_hc1_supply_temperature__max,0.07428751423466814,0.17658303276722004,0.21585850550774519
fault_event_no_event67,p_hc1_return_temperature__median,-0.03765506014958415,0.16826919880209812,0.2572377896056645
