threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count
0.5,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,dummy_most_frequent,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.631578947368421,0.6306818181818181,0.6274509803921569,0.7159090909090908,0.7,0.6363636363636364,0.6666666666666666,0.375,5,3,4,7,fault_no_overlap,fault,no_overlap,expanded154,154,logistic_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,1.0,1.0,0.9090909090909091,0.9523809523809523,0.0,8,0,1,10,fault_no_overlap,fault,no_overlap,expanded154,154,lightgbm_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.9473684210526315,0.9375,0.9449275362318841,1.0,0.9166666666666666,1.0,0.9565217391304348,0.125,7,1,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,xgboost_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,18,0.6111111111111112,0.5,0.3793103448275862,0.5,0.6111111111111112,1.0,0.7586206896551724,1.0,0,7,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,dummy_most_frequent,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0
0.5,18,0.8333333333333334,0.8376623376623377,0.8285714285714285,0.8051948051948052,0.9,0.8181818181818182,0.8571428571428571,0.14285714285714285,6,1,2,9,fault_no_overlap,fault,no_overlap,expanded154,154,logistic_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0
0.5,18,0.8333333333333334,0.7857142857142857,0.8036363636363637,0.8571428571428571,0.7857142857142857,1.0,0.88,0.42857142857142855,4,3,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,lightgbm_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0
0.5,18,0.7777777777777778,0.7662337662337663,0.7662337662337663,0.7922077922077921,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.2857142857142857,5,2,2,9,fault_no_overlap,fault,no_overlap,expanded154,154,xgboost_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0
0.5,18,0.6111111111111112,0.5,0.3793103448275862,0.5,0.6111111111111112,1.0,0.7586206896551724,1.0,0,7,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,dummy_most_frequent,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0
0.5,18,0.6666666666666666,0.6753246753246753,0.6625,0.7662337662337662,0.7777777777777778,0.6363636363636364,0.7,0.2857142857142857,5,2,4,7,fault_no_overlap,fault,no_overlap,expanded154,154,logistic_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0
0.5,18,0.7777777777777778,0.7922077922077921,0.775,0.8441558441558441,0.8888888888888888,0.7272727272727273,0.8,0.14285714285714285,6,1,3,8,fault_no_overlap,fault,no_overlap,expanded154,154,lightgbm_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0
0.5,18,0.8888888888888888,0.8571428571428572,0.875,0.961038961038961,0.8461538461538461,1.0,0.9166666666666666,0.2857142857142857,5,2,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,xgboost_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0
0.5,18,0.6111111111111112,0.5,0.3793103448275862,0.5,0.6111111111111112,1.0,0.7586206896551724,1.0,0,7,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,dummy_most_frequent,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0
0.5,18,0.6666666666666666,0.6493506493506493,0.6493506493506493,0.7532467532467532,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.42857142857142855,4,3,3,8,fault_no_overlap,fault,no_overlap,expanded154,154,logistic_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0
0.5,18,0.7777777777777778,0.7662337662337663,0.7662337662337663,0.935064935064935,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.2857142857142857,5,2,2,9,fault_no_overlap,fault,no_overlap,expanded154,154,lightgbm_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0
0.5,18,0.8888888888888888,0.8571428571428572,0.875,0.9610389610389611,0.8461538461538461,1.0,0.9166666666666666,0.2857142857142857,5,2,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,xgboost_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0
0.5,15,0.5333333333333333,0.5,0.34782608695652173,0.5,0.5333333333333333,1.0,0.6956521739130435,1.0,0,7,0,8,task_pre_all,task,pre_all,compact13,13,dummy_most_frequent,1,fold,57.0,15,1|2|4|6|9|11|12|13|14|15|16|17|18|19|20|22|23|24|26|27|28|30|31|32,3|5|7|8|21|25,0
0.5,15,0.6666666666666666,0.6607142857142857,0.660633484162896,0.625,0.6666666666666666,0.75,0.7058823529411765,0.42857142857142855,4,3,2,6,task_pre_all,task,pre_all,compact13,13,logistic_balanced,1,fold,57.0,15,1|2|4|6|9|11|12|13|14|15|16|17|18|19|20|22|23|24|26|27|28|30|31|32,3|5|7|8|21|25,0
0.5,15,0.6,0.5892857142857143,0.5833333333333333,0.5,0.6,0.75,0.6666666666666666,0.5714285714285714,3,4,2,6,task_pre_all,task,pre_all,compact13,13,lightgbm_balanced,1,fold,57.0,15,1|2|4|6|9|11|12|13|14|15|16|17|18|19|20|22|23|24|26|27|28|30|31|32,3|5|7|8|21|25,0
0.5,15,0.4666666666666667,0.4642857142857143,0.4642857142857143,0.5892857142857143,0.5,0.5,0.5,0.5714285714285714,3,4,4,4,task_pre_all,task,pre_all,compact13,13,xgboost_balanced,1,fold,57.0,15,1|2|4|6|9|11|12|13|14|15|16|17|18|19|20|22|23|24|26|27|28|30|31|32,3|5|7|8|21|25,0
0.5,16,0.4375,0.5,0.30434782608695654,0.5,0.0,0.0,0.0,0.0,7,0,9,0,task_pre_all,task,pre_all,compact13,13,dummy_most_frequent,2,fold,56.0,16,2|3|4|5|6|7|8|11|12|13|14|15|16|17|18|21|22|24|25|26|27|28|30|31,1|9|19|20|23|32,0
0.5,16,0.75,0.7777777777777778,0.746031746031746,0.8253968253968254,1.0,0.5555555555555556,0.7142857142857143,0.0,7,0,4,5,task_pre_all,task,pre_all,compact13,13,logistic_balanced,2,fold,56.0,16,2|3|4|5|6|7|8|11|12|13|14|15|16|17|18|21|22|24|25|26|27|28|30|31,1|9|19|20|23|32,0
0.5,16,0.625,0.6349206349206349,0.625,0.7777777777777778,0.7142857142857143,0.5555555555555556,0.625,0.2857142857142857,5,2,4,5,task_pre_all,task,pre_all,compact13,13,lightgbm_balanced,2,fold,56.0,16,2|3|4|5|6|7|8|11|12|13|14|15|16|17|18|21|22|24|25|26|27|28|30|31,1|9|19|20|23|32,0
0.5,16,0.6875,0.7063492063492063,0.6862745098039216,0.7142857142857143,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.14285714285714285,6,1,4,5,task_pre_all,task,pre_all,compact13,13,xgboost_balanced,2,fold,56.0,16,2|3|4|5|6|7|8|11|12|13|14|15|16|17|18|21|22|24|25|26|27|28|30|31,1|9|19|20|23|32,0
0.5,14,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,1.0,0,7,0,7,task_pre_all,task,pre_all,compact13,13,dummy_most_frequent,3,fold,58.0,14,1|2|3|4|5|6|7|8|9|13|15|16|17|18|19|20|21|23|24|25|26|27|30|32,11|12|14|22|28|31,0
