dataset,target_class,window_direction,window_days,feature_set,model,rank,feature,importance_metric,importance_value,feature_missing_rate,interpretation_scope
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,3,outdoor_temperature__last_minus_first,abs_coefficient,0.5727605232334841,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,4,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.4626905728876028,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,5,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.4244148480107103,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,6,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.42336109619531487,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,7,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.21880878494746908,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,8,p_return_gap__last_minus_first,abs_coefficient,0.18635035657568508,0.32926829268292684,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,9,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.17034319780002596,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,10,p_net_meter_flow__last_1d_std_minus_prev_6d_std,abs_coefficient,0.08055457113041718,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,11,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.07853482101852512,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,abs_coefficient,0.05289319257014209,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,13,s_hc1_supply_temperature_error__last_minus_first,abs_coefficient,0.02499931932244463,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,1,p_return_gap__last_minus_first,feature_importance,0.15745438015122673,0.32926829268292684,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,2,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.15114754991864815,0.34146341463414637,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,3,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.1378277572943903,0.34146341463414637,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,4,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.10896610392985275,0.34146341463414637,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,5,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.08550036420849265,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,6,outdoor_temperature__last_minus_first,feature_importance,0.06608547437482895,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,7,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.06178183916446196,0.0,full_dataset_fit_for_audit_only
