threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,fold_balanced_accuracy_std,fold_recall_std,fold_normal_fpr_std,logistic_balanced_accuracy,logistic_recall_target,logistic_normal_fpr,logistic_fold_ba_std,delta_ba_vs_logistic,delta_recall_vs_logistic,delta_fpr_vs_logistic,delta_fold_ba_std_vs_logistic,passes_gate_base,passes_boosting_vs_logistic,decision_candidate,target_decision,overall_decision
0.5,81,0.7037037037037037,0.7049689440993789,0.7014742014742015,0.7869565217391304,0.7619047619047619,0.6956521739130435,0.7272727272727273,0.2857142857142857,25,10,14,32,activity_no_overlap,activity,no_overlap,compact13,13,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.20496894409937894,0.07724940487172724,0.07771985209341965,0.1673243825017497,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,0.16925465838509324,0.19565217391304346,-0.14285714285714285,-0.024599333313346294,False,True,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.6,81,0.7283950617283951,0.7437888198757764,0.7283536585365853,0.7869565217391304,0.8529411764705882,0.6304347826086957,0.725,0.14285714285714285,30,5,17,29,activity_no_overlap,activity,no_overlap,compact13,13,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.24378881987577639,0.07724940487172724,0.07771985209341965,0.1673243825017497,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,0.2080745341614907,0.13043478260869568,-0.2857142857142857,-0.024599333313346294,False,True,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.4,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,-0.2335403726708074,0.30434782608695654,0.7714285714285715,-0.10338996144202847,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.5,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,-0.2335403726708074,0.30434782608695654,0.7714285714285715,-0.10338996144202847,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.6,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,-0.2335403726708074,0.30434782608695654,0.7714285714285715,-0.10338996144202847,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.4,81,0.7160493827160493,0.7055900621118012,0.7073055773762765,0.8043478260869565,0.7346938775510204,0.782608695652174,0.7578947368421053,0.37142857142857144,22,13,10,36,activity_no_overlap,activity,no_overlap,expanded154,154,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.2055900621118012,0.052873615098604394,0.12057172530200785,0.14213607704975176,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,-0.02795031055900621,0.08695652173913049,0.14285714285714288,-0.05051634634342408,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.5,81,0.7160493827160493,0.7124223602484472,0.7116545426404581,0.8043478260869565,0.7555555555555555,0.7391304347826086,0.7472527472527473,0.3142857142857143,24,11,12,34,activity_no_overlap,activity,no_overlap,expanded154,154,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.21242236024844718,0.052873615098604394,0.12057172530200785,0.14213607704975176,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,-0.02111801242236022,0.04347826086956519,0.08571428571428572,-0.05051634634342408,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.6,81,0.7777777777777778,0.7838509316770186,0.7769277845777234,0.8043478260869565,0.85,0.7391304347826086,0.7906976744186046,0.17142857142857143,29,6,12,34,activity_no_overlap,activity,no_overlap,expanded154,154,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.2838509316770186,0.052873615098604394,0.12057172530200785,0.14213607704975176,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,0.050310559006211175,0.04347826086956519,-0.057142857142857134,-0.05051634634342408,False,True,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.4,81,0.7283950617283951,0.7301242236024845,0.7263513513513513,0.8217391304347826,0.7857142857142857,0.717391304347826,0.75,0.2571428571428571,26,9,13,33,activity_no_overlap,activity,no_overlap,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.23012422360248452,0.10338996144202847,0.12383241546615091,0.21295885499997996,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,-0.0034161490683228823,0.021739130434782594,0.028571428571428553,0.0,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.5,81,0.7283950617283951,0.7335403726708074,0.7273561811505508,0.8217391304347826,0.8,0.6956521739130435,0.7441860465116279,0.22857142857142856,27,8,14,32,activity_no_overlap,activity,no_overlap,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.2335403726708074,0.10338996144202847,0.12383241546615091,0.21295885499997996,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,0.0,0.0,0.0,0.0,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
