threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_target_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,target_decision_at_t0_5
0.6,81,0.7160493827160493,0.739751552795031,0.7144827586206897,0.8105590062111802,0.896551724137931,0.5652173913043478,0.6933333333333334,0.08571428571428572,32,3,20,26,activity_no_overlap,activity,no_overlap,compact13,13,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.23975155279503102,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.7654320987654321,0.7832298136645963,0.7652890041177368,0.846583850931677,0.9090909090909091,0.6521739130434783,0.759493670886076,0.08571428571428572,32,3,16,30,activity_no_overlap,activity,no_overlap,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.2832298136645963,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.7777777777777778,0.8009316770186335,0.7769277845777234,0.846583850931677,0.9666666666666667,0.6304347826086957,0.7631578947368421,0.02857142857142857,34,1,17,29,activity_no_overlap,activity,no_overlap,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.30093167701863355,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.7654320987654321,0.7900621118012423,0.7641379310344828,0.846583850931677,0.9655172413793104,0.6086956521739131,0.7466666666666667,0.02857142857142857,34,1,18,28,activity_no_overlap,activity,no_overlap,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.2900621118012423,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.7283950617283951,0.7301242236024845,0.7263513513513513,0.8217391304347826,0.7857142857142857,0.717391304347826,0.75,0.2571428571428571,26,9,13,33,activity_no_overlap,activity,no_overlap,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.23012422360248452,False,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.7283950617283951,0.7335403726708074,0.7273561811505508,0.8217391304347826,0.8,0.6956521739130435,0.7441860465116279,0.22857142857142856,27,8,14,32,activity_no_overlap,activity,no_overlap,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.2335403726708074,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.7530864197530864,0.7621118012422361,0.7527472527472527,0.8217391304347826,0.8421052631578947,0.6956521739130435,0.7619047619047619,0.17142857142857143,29,6,14,32,activity_no_overlap,activity,no_overlap,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.2621118012422361,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.7654320987654321,0.7661490683229815,0.7631214406649223,0.8521739130434782,0.813953488372093,0.7608695652173914,0.7865168539325843,0.22857142857142856,27,8,11,35,activity_no_overlap,activity,no_overlap,expanded154,154,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.26614906832298146,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.8024691358024691,0.8226708074534161,0.8021978021978022,0.8521739130434782,0.96875,0.6739130434782609,0.7948717948717948,0.02857142857142857,34,1,15,31,activity_no_overlap,activity,no_overlap,expanded154,154,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.32267080745341614,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.7654320987654321,0.7900621118012423,0.7641379310344828,0.8521739130434782,0.9655172413793104,0.6086956521739131,0.7466666666666667,0.02857142857142857,34,1,18,28,activity_no_overlap,activity,no_overlap,expanded154,154,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.2900621118012423,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.5308641975308642,0.4673913043478261,0.3467741935483871,0.5527950310559007,0.5512820512820513,0.9347826086956522,0.6935483870967742,1.0,0,35,3,43,activity_post_all,activity,post_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,-0.03260869565217389,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.5432098765432098,0.5568322981366459,0.5429312185450663,0.5527950310559007,0.6363636363636364,0.45652173913043476,0.5316455696202531,0.34285714285714286,23,12,25,21,activity_post_all,activity,post_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.05683229813664592,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.43209876543209874,0.486335403726708,0.3611111111111111,0.5527950310559007,0.5,0.08695652173913043,0.14814814814814814,0.11428571428571428,31,4,42,4,activity_post_all,activity,post_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,-0.013664596273291973,False,True,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.49382716049382713,0.465527950310559,0.4535132466677637,0.3732919254658385,0.543859649122807,0.6739130434782609,0.6019417475728155,0.7428571428571429,9,26,15,31,activity_post_all,activity,post_all,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,-0.03447204968944101,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.37037037037037035,0.3739130434782609,0.36998627421076713,0.3732919254658385,0.43243243243243246,0.34782608695652173,0.3855421686746988,0.6,14,21,30,16,activity_post_all,activity,post_all,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,-0.12608695652173912,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.38271604938271603,0.415527950310559,0.3607954545454546,0.3732919254658385,0.4,0.17391304347826086,0.24242424242424243,0.34285714285714286,23,12,38,8,activity_post_all,activity,post_all,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,-0.084472049689441,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.5802469135802469,0.5484472049689442,0.5360512129380054,0.6310559006211179,0.6,0.782608695652174,0.6792452830188679,0.6857142857142857,11,24,10,36,activity_post_all,activity,post_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.04844720496894417,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.6049382716049383,0.6043478260869566,0.6019656019656019,0.6310559006211179,0.6666666666666666,0.6086956521739131,0.6363636363636364,0.4,21,14,18,28,activity_post_all,activity,post_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.10434782608695659,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.5555555555555556,0.5916149068322981,0.5397727272727273,0.6310559006211179,0.75,0.32608695652173914,0.45454545454545453,0.14285714285714285,30,5,31,15,activity_post_all,activity,post_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.09161490683229812,False,True,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
