dataset_id,feature_strategy,model,fold,feature_count,train_rows,test_rows,train_positive_rows,test_positive_rows,train_group_count,test_group_count,group_overlap_count,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate
strict_no_event20,fold_selected_compact13,logistic_balanced,2,13.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.8181818181818182,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5833333333333333,8.0,0.0,2.0,1.0,0.0,0.6666666666666666
strict_no_event20,expanded154,dummy_most_frequent,3,154.0,40.0,9.0,12.0,2.0,24.0,5.0,0.0,0.6,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7.0,0.0,2.0,0.0,0.0,1.0
strict_no_event20,expanded154,logistic_balanced,3,154.0,40.0,9.0,12.0,2.0,24.0,5.0,0.0,0.6,0.5555555555555556,0.5357142857142857,0.25,0.5,0.3333333333333333,0.7142857142857143,4.0,3.0,1.0,1.0,0.42857142857142855,0.5
strict_no_event20,locked_compact13,dummy_most_frequent,3,13.0,40.0,9.0,12.0,2.0,24.0,5.0,0.0,0.6,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7.0,0.0,2.0,0.0,0.0,1.0
strict_no_event20,locked_compact13,logistic_balanced,3,13.0,40.0,9.0,12.0,2.0,24.0,5.0,0.0,0.6,0.8888888888888888,0.9285714285714286,0.6666666666666666,1.0,0.8,1.0,6.0,1.0,0.0,2.0,0.14285714285714285,0.0
strict_no_event20,fold_selected_compact13,dummy_most_frequent,3,13.0,40.0,9.0,12.0,2.0,24.0,5.0,0.0,0.6,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7.0,0.0,2.0,0.0,0.0,1.0
strict_no_event20,fold_selected_compact13,logistic_balanced,3,13.0,40.0,9.0,12.0,2.0,24.0,5.0,0.0,0.6,0.6666666666666666,0.7857142857142857,0.4,1.0,0.5714285714285714,0.8571428571428572,4.0,3.0,0.0,2.0,0.42857142857142855,0.0
strict_no_event20,expanded154,dummy_most_frequent,4,154.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,expanded154,logistic_balanced,4,154.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.5555555555555556,0.4166666666666667,0.0,0.0,0.0,0.5555555555555556,5.0,1.0,3.0,0.0,0.16666666666666666,1.0
strict_no_event20,locked_compact13,dummy_most_frequent,4,13.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,locked_compact13,logistic_balanced,4,13.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.5833333333333334,0.5,0.3333333333333333,0.4,0.7222222222222222,5.0,1.0,2.0,1.0,0.16666666666666666,0.6666666666666666
strict_no_event20,fold_selected_compact13,dummy_most_frequent,4,13.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,fold_selected_compact13,logistic_balanced,4,13.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.5,0.0,0.0,0.0,0.33333333333333337,6.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,expanded154,dummy_most_frequent,5,154.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,expanded154,logistic_balanced,5,154.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.8333333333333333,4.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333
strict_no_event20,locked_compact13,dummy_most_frequent,5,13.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,locked_compact13,logistic_balanced,5,13.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0
strict_no_event20,fold_selected_compact13,dummy_most_frequent,5,13.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,fold_selected_compact13,logistic_balanced,5,13.0,40.0,9.0,11.0,3.0,23.0,6.0,0.0,0.6,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.888888888888889,4.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333
