model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,candidate_id,scenario,normal_policy,positive_policy,fold,train_rows,test_rows,train_groups,test_groups,test_normal,test_efd_possible
dummy_most_frequent,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,report_pre_3d,no_low_coverage20,normal_3d,report_pre_3d,4,40,9,23,6,6,3
logistic_balanced,0.5555555555555556,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7222222222222222,4,2,2,1,report_pre_3d,no_low_coverage20,normal_3d,report_pre_3d,4,40,9,23,6,6,3
dummy_most_frequent,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,report_pre_3d,no_low_coverage20,normal_3d,report_pre_3d,5,40,9,23,6,7,2
logistic_balanced,0.6666666666666666,0.6071428571428572,0.3333333333333333,0.5,0.4,0.6428571428571428,5,2,1,1,report_pre_3d,no_low_coverage20,normal_3d,report_pre_3d,5,40,9,23,6,7,2
dummy_most_frequent,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,1,37,11,23,6,8,3
logistic_balanced,0.6363636363636364,0.4375,0.0,0.0,0.0,0.5,7,1,3,0,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,1,37,11,23,6,8,3
dummy_most_frequent,0.7,0.5,0.0,0.0,0.0,0.5,7,0,3,0,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,2,38,10,23,6,7,3
logistic_balanced,0.6,0.5238095238095238,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6190476190476191,5,2,2,1,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,2,38,10,23,6,7,3
dummy_most_frequent,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,3,39,9,24,5,7,2
logistic_balanced,0.5555555555555556,0.35714285714285715,0.0,0.0,0.0,0.4285714285714286,5,2,2,0,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,3,39,9,24,5,7,2
dummy_most_frequent,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,4,39,9,23,6,6,3
logistic_balanced,0.6666666666666666,0.5833333333333334,0.5,0.3333333333333333,0.4,0.6111111111111112,5,1,2,1,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,4,39,9,23,6,6,3
dummy_most_frequent,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,5,39,9,23,6,7,2
