dataset,target_class,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,target_precision,target_recall,target_f1,normal_support,target_support,normal_fpr,tn,fp,fn,tp,fold_balanced_accuracy_std,fold_target_recall_std,fold_normal_fpr_std,max_group_overlap,rows_summary,normal_rows,target_rows,substation_count,target_substation_count,target_overlap_rows,target_overlap_rate,normal_collision_rows,coverage_min,coverage_median,window_policies,passes_overlap,passes_balanced_accuracy,passes_recall,passes_normal_fpr,passes_group_overlap,candidate_pass,target_policy_decision,selected_dataset_for_target,fault_final_decision,overall_decision,window_direction,window_days,core_semantics_candidate,semantic_pass,pass_reason
task_post_1d,task,expanded154,154,logistic_balanced,all,aggregate,,77,,,0,0.4,77,0.8441558441558441,0.8380952380952381,0.8409090909090909,0.874829931972789,0.8709677419354839,0.7714285714285715,0.8181818181818182,0.8260869565217391,0.9047619047619048,0.8636363636363636,35,42,0.2285714285714285,27,8,4,38,0.0544894880540276,0.1039349274103872,0.1172617368999416,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,True,True,True,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,True,passes_semantic_thresholds
task_post_1d,task,expanded154,154,logistic_balanced,all,aggregate,,77,,,0,0.5,77,0.8311688311688312,0.8261904761904761,0.8282724309487047,0.874829931972789,0.84375,0.7714285714285715,0.8059701492537313,0.8222222222222222,0.8809523809523809,0.8505747126436781,35,42,0.2285714285714285,27,8,5,37,0.0611162644704078,0.1185040500427863,0.1172617368999416,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,True,True,True,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,True,passes_semantic_thresholds
task_post_1d,task,expanded154,154,logistic_balanced,all,aggregate,,77,,,0,0.6,77,0.8181818181818182,0.8142857142857143,0.8156634746922025,0.874829931972789,0.8181818181818182,0.7714285714285715,0.7941176470588235,0.8181818181818182,0.8571428571428571,0.8372093023255814,35,42,0.2285714285714285,27,8,6,36,0.0750914083515128,0.1591475167847913,0.1172617368999416,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,True,True,True,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,True,passes_semantic_thresholds
task_post_1d,task,expanded154,154,random_forest_balanced_depth3,all,aggregate,,77,,,0,0.4,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,42,0.0,35,0,0,42,0.0,0.0,0.0,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,True,True,True,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,True,passes_semantic_thresholds
task_post_1d,task,expanded154,154,random_forest_balanced_depth3,all,aggregate,,77,,,0,0.5,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,42,0.0,35,0,0,42,0.0,0.0,0.0,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,True,True,True,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,True,passes_semantic_thresholds
task_post_1d,task,expanded154,154,random_forest_balanced_depth3,all,aggregate,,77,,,0,0.6,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,42,0.0,35,0,0,42,0.0,0.0,0.0,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,True,True,True,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,True,passes_semantic_thresholds
task_post_1d,task,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,77,,,0,0.4,77,0.8831168831168831,0.8714285714285714,0.8778424114225277,1.0,1.0,0.7428571428571429,0.8524590163934426,0.8235294117647058,1.0,0.9032258064516128,35,42,0.2571428571428571,26,9,0,42,0.0824976999457965,0.0,0.1649953998915931,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,False,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,False,fails_one_or_more_semantic_thresholds
task_post_1d,task,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,77,,,0,0.5,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,42,0.0,35,0,0,42,0.0,0.0,0.0,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,True,True,True,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,True,passes_semantic_thresholds
task_post_1d,task,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,77,,,0,0.6,77,0.987012987012987,0.988095238095238,0.986933650093331,1.0,0.9722222222222222,1.0,0.9859154929577464,1.0,0.9761904761904762,0.9879518072289156,35,42,0.0,35,0,1,41,0.0279508497187473,0.0559016994374947,0.0,0,77,35,42,31,22,2,0.0476190476190476,0,1.0,1.0,task_post_1d,True,True,True,True,True,True,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,post,1d,True,True,passes_semantic_thresholds
activity_pre_3d,activity,compact13,13,logistic_balanced,all,aggregate,,82,,,0,0.4,82,0.4634146341463415,0.4480243161094225,0.4473039215686274,0.4784194528875379,0.3636363636363636,0.3428571428571428,0.3529411764705882,0.5306122448979592,0.5531914893617021,0.5416666666666666,35,47,0.6571428571428571,12,23,21,26,0.1097319450900358,0.1878569919729009,0.1994891434824135,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,False,False,False,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,compact13,13,logistic_balanced,all,aggregate,,82,,,0,0.5,82,0.4146341463414634,0.4200607902735562,0.4142857142857142,0.4784194528875379,0.3555555555555555,0.4571428571428571,0.4,0.4864864864864865,0.3829787234042553,0.4285714285714285,35,47,0.5428571428571428,16,19,29,18,0.1334754238633847,0.2312344865176949,0.2753708075171605,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,False,False,False,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,compact13,13,logistic_balanced,all,aggregate,,82,,,0,0.6,82,0.4390243902439024,0.4778115501519757,0.4168212739641311,0.4784194528875379,0.4126984126984127,0.7428571428571429,0.5306122448979592,0.5263157894736842,0.2127659574468085,0.303030303030303,35,47,0.2571428571428571,26,9,37,10,0.064387045358343,0.2126551721031544,0.2045403009039479,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,False,False,False,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,compact13,13,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.4,82,0.7317073170731707,0.7075987841945288,0.7108974358974358,0.8206686930091186,0.76,0.5428571428571428,0.6333333333333333,0.7192982456140351,0.8723404255319149,0.7884615384615384,35,47,0.4571428571428571,19,16,6,41,0.1300717140413349,0.1101766258735894,0.1713624210994912,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,False,True,False,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,compact13,13,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.5,82,0.7560975609756098,0.7580547112462006,0.7537537537537538,0.8206686930091186,0.6923076923076923,0.7714285714285715,0.7297297297297297,0.813953488372093,0.7446808510638298,0.7777777777777778,35,47,0.2285714285714285,27,8,12,35,0.0764256508120199,0.1139056179295752,0.1474701630147327,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,False,True,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,compact13,13,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.6,82,0.7439024390243902,0.7656534954407295,0.7435591958302308,0.8206686930091186,0.64,0.9142857142857144,0.7529411764705882,0.90625,0.6170212765957447,0.7341772151898734,35,47,0.0857142857142857,32,3,18,29,0.0367595067685691,0.1017338352891032,0.075339368249032,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,False,True,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,compact13,13,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.4,82,0.5487804878048781,0.482370820668693,0.3776410256410256,0.6407294832826748,0.25,0.0285714285714285,0.0512820512820512,0.5641025641025641,0.9361702127659576,0.704,35,47,0.9714285714285714,1,34,3,44,0.0639674662206803,0.0894427190999915,0.063887656499994,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,False,True,False,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,compact13,13,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.5,82,0.5853658536585366,0.5872340425531914,0.5831339712918661,0.6407294832826748,0.5121951219512195,0.6,0.5526315789473685,0.6585365853658537,0.574468085106383,0.6136363636363636,35,47,0.4,21,14,20,27,0.0893408559884716,0.1942658720026328,0.1285218158246184,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,False,False,False,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,compact13,13,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.6,82,0.524390243902439,0.5851063829787234,0.4665554628857381,0.6407294832826748,0.4729729729729729,1.0,0.6422018348623854,1.0,0.1702127659574468,0.2909090909090909,35,47,0.0,35,0,39,8,0.0597827700247883,0.1195655400495767,0.0,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,False,False,True,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,expanded154,154,logistic_balanced,all,aggregate,,82,,,0,0.4,82,0.8414634146341463,0.8398176291793313,0.8385582311070725,0.9367781155015198,0.8055555555555556,0.8285714285714286,0.8169014084507042,0.8695652173913043,0.851063829787234,0.8602150537634409,35,47,0.1714285714285714,29,6,7,40,0.0670106982016259,0.1074651238052007,0.0649328102061649,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,True,True,True,True,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,True,passes_semantic_thresholds
activity_pre_3d,activity,expanded154,154,logistic_balanced,all,aggregate,,82,,,0,0.5,82,0.8292682926829268,0.8401215805471125,0.8288610614192009,0.9367781155015198,0.7441860465116279,0.9142857142857144,0.8205128205128205,0.9230769230769232,0.7659574468085106,0.8372093023255814,35,47,0.0857142857142857,32,3,11,36,0.0370389266335811,0.0712497762259286,0.0831630914122522,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,True,True,True,True,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,expanded154,154,logistic_balanced,all,aggregate,,82,,,0,0.6,82,0.8292682926829268,0.8401215805471125,0.8288610614192009,0.9367781155015198,0.7441860465116279,0.9142857142857144,0.8205128205128205,0.9230769230769232,0.7659574468085106,0.8372093023255814,35,47,0.0857142857142857,32,3,11,36,0.0370389266335811,0.0712497762259286,0.0831630914122522,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,True,True,True,True,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,expanded154,154,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.4,82,0.8170731707317073,0.8258358662613982,0.8163905060456784,0.8857142857142858,0.7380952380952381,0.8857142857142857,0.8051948051948052,0.9,0.7659574468085106,0.8275862068965517,35,47,0.1142857142857142,31,4,11,36,0.0442730716721061,0.0920077143566439,0.0623723185591892,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,True,True,True,True,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,expanded154,154,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.5,82,0.7926829268292683,0.8155015197568389,0.7924050632911392,0.8857142857142858,0.68,0.9714285714285714,0.8,0.96875,0.6595744680851063,0.7848101265822784,35,47,0.0285714285714285,34,1,16,31,0.0558674634236041,0.109893269185355,0.0638876564999939,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,False,True,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,expanded154,154,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.6,82,0.7682926829268293,0.794224924012158,0.767427974324526,0.8857142857142858,0.6538461538461539,0.9714285714285714,0.7816091954022989,0.9666666666666668,0.6170212765957447,0.7532467532467533,35,47,0.0285714285714285,34,1,18,29,0.0458186432859197,0.1018340876420842,0.0638876564999939,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,False,True,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.4,82,0.8170731707317073,0.8367781155015197,0.8170459616242749,0.8729483282674771,0.7083333333333334,0.9714285714285714,0.8192771084337349,0.9705882352941176,0.7021276595744681,0.8148148148148148,35,47,0.0285714285714285,34,1,14,33,0.0420003644299058,0.0615696055414569,0.0638876564999939,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,False,True,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.5,82,0.7682926829268293,0.794224924012158,0.767427974324526,0.8729483282674771,0.6538461538461539,0.9714285714285714,0.7816091954022989,0.9666666666666668,0.6170212765957447,0.7532467532467533,35,47,0.0285714285714285,34,1,18,29,0.0458186432859197,0.1018340876420842,0.0638876564999939,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,False,True,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_3d,activity,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.6,82,0.7682926829268293,0.794224924012158,0.767427974324526,0.8729483282674771,0.6538461538461539,0.9714285714285714,0.7816091954022989,0.9666666666666668,0.6170212765957447,0.7532467532467533,35,47,0.0285714285714285,34,1,18,29,0.0458186432859197,0.1018340876420842,0.0638876564999939,0,82,35,47,27,19,4,0.0851063829787234,0,0.988425925925926,1.0,activity_pre_3d,True,True,False,True,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,3d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_1d,activity,compact13,13,logistic_balanced,all,aggregate,,82,,,0,0.4,82,0.6829268292682927,0.6504559270516718,0.6474867724867726,0.6279635258358662,0.7142857142857143,0.4285714285714285,0.5357142857142857,0.6721311475409836,0.8723404255319149,0.7592592592592593,35,47,0.5714285714285714,15,20,6,41,0.0856836916299587,0.0917763722007525,0.1917923279282938,0,82,35,47,27,19,2,0.0425531914893617,0,0.9652777777777778,1.0,activity_pre_1d,True,False,True,False,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,1d,True,False,fails_one_or_more_semantic_thresholds
activity_pre_1d,activity,compact13,13,logistic_balanced,all,aggregate,,82,,,0,0.5,82,0.6219512195121951,0.6155015197568389,0.6150234741784038,0.6279635258358662,0.5555555555555556,0.5714285714285714,0.5633802816901409,0.6739130434782609,0.6595744680851063,0.6666666666666666,35,47,0.4285714285714285,20,15,16,31,0.0439719427138686,0.0895013269641555,0.1482130904522467,0,82,35,47,27,19,2,0.0425531914893617,0,0.9652777777777778,1.0,activity_pre_1d,True,False,False,False,True,False,activity_window_candidate_selected,activity_pre_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,1d,True,False,fails_one_or_more_semantic_thresholds
