dataset_id,fold,selection_strategy,selection_scope,used_test_fold_in_selection,rank,feature,coefficient,abs_coefficient,selected_for_model,selected_feature_count,train_rows,test_rows,train_positive_rows,test_positive_rows,train_groups,test_groups,group_overlap_count
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,19,p_net_meter_flow__last_1d_mean_minus_prev_6d_mean,-0.2586945102287391,0.2586945102287391,False,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,20,p_net_return_temperature__last_minus_first,-0.25600064558472163,0.25600064558472163,False,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,1,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,0.8053366068793384,0.8053366068793384,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,2,p_return_gap__last_1d_mean_minus_prev_6d_mean,0.6647598272787103,0.6647598272787103,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,3,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,-0.6196730959147702,0.6196730959147702,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,4,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.5136703738255107,0.5136703738255107,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,5,p_hc1_return_temperature__last_1d_std_minus_prev_6d_std,-0.4884305000553671,0.4884305000553671,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,6,p_net_delta_temperature__last_1d_mean_minus_prev_6d_mean,0.34223844926303654,0.34223844926303654,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,7,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,-0.3171744459597122,0.3171744459597122,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,8,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,-0.2925243774845201,0.2925243774845201,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,9,p_net_meter_flow__last_1d_std_minus_prev_6d_std,-0.28907085515329806,0.28907085515329806,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,10,outdoor_temperature__last_minus_first,0.28422155706238983,0.28422155706238983,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,11,p_net_power_flow_ratio__last_1d_mean_minus_prev_6d_mean,0.2704063801026491,0.2704063801026491,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,12,p_net_meter_flow__last_1d_mean_minus_prev_6d_mean,-0.2688868014220056,0.2688868014220056,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,13,p_hc1_return_temperature__min,-0.2654344273969373,0.2654344273969373,True,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,14,s_hc1_supply_temperature__last_6h_mean_minus_prev_6h_mean,-0.2639924205790732,0.2639924205790732,False,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,15,s_hc1_supply_temperature_setpoint__last_1d_std_minus_prev_6d_std,-0.26264069732046,0.26264069732046,False,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,16,outdoor_temperature__last_1d_mean_minus_prev_6d_mean,-0.25203098216814723,0.25203098216814723,False,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,17,p_net_supply_temperature__max,0.23273293549348675,0.23273293549348675,False,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,18,p_return_gap__last_minus_first,0.2247323921935647,0.2247323921935647,False,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,19,p_net_delta_temperature__max,0.22228272183856168,0.22228272183856168,False,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,4,fold_selected_compact13,train_fold_only,False,20,s_hc1_supply_temperature__min,-0.22057722418401393,0.22057722418401393,False,13,40,9,11,3,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,1,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,0.9164900902223057,0.9164900902223057,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,2,p_return_gap__last_1d_mean_minus_prev_6d_mean,0.6849704197836339,0.6849704197836339,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,3,s_hc1_supply_temperature__last_6h_mean_minus_prev_6h_mean,-0.4356426279516883,0.4356426279516883,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,4,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,-0.4001504289153475,0.4001504289153475,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,5,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.38102810791692593,0.38102810791692593,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,6,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.37339253398025457,0.37339253398025457,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,7,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,-0.3518201657540682,0.3518201657540682,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,8,p_net_meter_flow__last_1d_std_minus_prev_6d_std,-0.33387160861169635,0.33387160861169635,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,9,p_net_supply_temperature__std,0.33288819817368726,0.33288819817368726,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,10,s_hc1_supply_temperature_error__last_minus_first,-0.3218713653740727,0.3218713653740727,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,11,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,-0.3202712558800375,0.3202712558800375,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
strict_no_event20,5,fold_selected_compact13,train_fold_only,False,12,p_net_meter_flow__last_12h_mean_minus_prev_12h_mean,-0.30680822417506254,0.30680822417506254,True,13,40,9,11,3,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,0
