threshold,rows,accuracy,balanced_accuracy,roc_auc,precision_event,recall_event,f1_event,normal_fpr,tn,fp,fn,tp,dataset,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_event_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,overall_decision_at_t0_5
0.4,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,pre_event_all,compact13,13,dummy_most_frequent,all,aggregate,,181,,,0,0.5,0.0,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.5,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,pre_event_all,compact13,13,dummy_most_frequent,all,aggregate,,181,,,0,0.5,0.0,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.6,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,pre_event_all,compact13,13,dummy_most_frequent,all,aggregate,,181,,,0,0.5,0.0,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.4,181,0.7955801104972375,0.5040117416829746,0.7727984344422701,0.807909604519774,0.9794520547945206,0.8854489164086687,0.9714285714285714,1,34,3,143,pre_event_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,181,,,0,0.5,0.004011741682974579,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.5,181,0.6685082872928176,0.7076320939334638,0.7727984344422701,0.9215686274509803,0.6438356164383562,0.7580645161290323,0.22857142857142856,27,8,52,94,pre_event_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,181,,,0,0.5,0.20763209393346382,False,True,True,True,False,binary_gate_unstable,binary_gate_unstable
0.6,181,0.3314917127071823,0.5747553816046966,0.7727984344422701,0.9629629629629629,0.1780821917808219,0.30057803468208094,0.02857142857142857,34,1,120,26,pre_event_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,181,,,0,0.5,0.07475538160469664,False,True,False,True,False,binary_gate_unstable,binary_gate_unstable
0.4,181,0.8066298342541437,0.5977495107632094,0.7189823874755382,0.8404907975460123,0.9383561643835616,0.8867313915857605,0.7428571428571429,9,26,9,137,pre_event_all,compact13,13,hist_gradient_boosting,all,aggregate,,181,,,0,0.5,0.09774951076320937,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.5,181,0.7845303867403315,0.5949119373776908,0.7189823874755382,0.8407643312101911,0.9041095890410958,0.8712871287128713,0.7142857142857143,10,25,14,132,pre_event_all,compact13,13,hist_gradient_boosting,all,aggregate,,181,,,0,0.5,0.09491193737769077,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.6,181,0.7569060773480663,0.5886497064579257,0.7189823874755382,0.84,0.863013698630137,0.8513513513513513,0.6857142857142857,11,24,20,126,pre_event_all,compact13,13,hist_gradient_boosting,all,aggregate,,181,,,0,0.5,0.08864970645792569,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.4,181,0.712707182320442,0.6481409001956947,0.7001956947162427,0.873015873015873,0.7534246575342466,0.8088235294117647,0.45714285714285713,19,16,36,110,pre_event_all,compact13,13,logistic_balanced,all,aggregate,,181,,,0,0.5,0.1481409001956947,False,False,False,True,False,binary_gate_unstable,binary_gate_unstable
