dataset_id,feature_set,feature,signal,stat,mean_coefficient,mean_abs_coefficient,std_coefficient
strict_no_event20,expanded154,s_hc1_supply_temperature_error__last_6h_mean_minus_prev_6h_mean,s_hc1_supply_temperature_error,last_6h_mean_minus_prev_6h_mean,-0.18491158259013826,0.22092763757927694,0.1697422305922024
strict_no_event20,expanded154,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.21726570969839348,0.21726570969839348,0.08813486590122849
strict_no_event20,expanded154,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.21220623689522658,0.21220623689522658,0.11676736429551912
strict_no_event20,expanded154,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.20405916323259343,0.20405916323259343,0.055001479322590585
strict_no_event20,expanded154,p_net_supply_temperature__max,p_net_supply_temperature,max,0.17785827865505172,0.2007217677194754,0.137520457240276
strict_no_event20,expanded154,p_net_delta_temperature__last_1d_mean_minus_prev_6d_mean,p_net_delta_temperature,last_1d_mean_minus_prev_6d_mean,0.18440965353655048,0.19988405414117685,0.1397130908881071
strict_no_event20,expanded154,p_net_supply_temperature__min,p_net_supply_temperature,min,-0.19341173791878122,0.19341173791878122,0.06604534071712036
strict_no_event20,expanded154,p_hc1_return_temperature__last_1d_std_minus_prev_6d_std,p_hc1_return_temperature,last_1d_std_minus_prev_6d_std,-0.16535081827232528,0.19288869073110215,0.21949524602327838
strict_no_event20,expanded154,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint,last_minus_first,0.12275074404454778,0.19157141238468758,0.16891321309980087
strict_no_event20,expanded154,p_net_return_temperature__last_minus_first,p_net_return_temperature,last_minus_first,-0.19029586897567713,0.19029586897567713,0.06803282844894112
strict_no_event20,expanded154,p_net_meter_flow__last_12h_mean_minus_prev_12h_mean,p_net_meter_flow,last_12h_mean_minus_prev_12h_mean,-0.18052243951432922,0.18052243951432922,0.12211277492065098
strict_no_event20,expanded154,s_hc1_supply_temperature_error__max,s_hc1_supply_temperature_error,max,0.15772059070091266,0.1700605372383098,0.15715080637580148
strict_no_event20,expanded154,s_hc1_supply_temperature_error__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature_error,last_1d_mean_minus_prev_6d_mean,0.16500396798685202,0.16500396798685202,0.03832150917385119
strict_no_event20,expanded154,p_return_gap__last_12h_mean_minus_prev_12h_mean,p_return_gap,last_12h_mean_minus_prev_12h_mean,-0.16414731886257586,0.16414731886257586,0.10660246855586665
strict_no_event20,expanded154,p_net_power_flow_ratio__last_1d_mean_minus_prev_6d_mean,p_net_power_flow_ratio,last_1d_mean_minus_prev_6d_mean,0.11839957462696353,0.15935632715171674,0.13748751113848523
strict_no_event20,expanded154,p_net_return_temperature__std,p_net_return_temperature,std,0.15764939114874138,0.15764939114874138,0.10159961092314881
strict_no_event20,expanded154,p_net_supply_temperature__last_6h_mean_minus_prev_6h_mean,p_net_supply_temperature,last_6h_mean_minus_prev_6h_mean,0.14784294352130417,0.15650422471561912,0.11866724885722146
strict_no_event20,expanded154,p_return_gap__last_6h_mean_minus_prev_6h_mean,p_return_gap,last_6h_mean_minus_prev_6h_mean,-0.15561278263885162,0.15561278263885162,0.07022299955836046
strict_no_event20,expanded154,p_hc1_return_temperature__std,p_hc1_return_temperature,std,0.1544257571574676,0.1544257571574676,0.12127676586907823
strict_no_event20,expanded154,p_net_return_temperature__min,p_net_return_temperature,min,-0.12963599006737345,0.14292788486917832,0.10683085038942518
strict_no_event20,expanded154,p_net_supply_temperature__last_1d_std_minus_prev_6d_std,p_net_supply_temperature,last_1d_std_minus_prev_6d_std,0.14026421505547199,0.14026421505547199,0.023700591903715016
