dataset,target_class,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,target_precision,target_recall,target_f1,normal_support,target_support,normal_fpr,tn,fp,fn,tp
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,all,aggregate,,90,,,0,0.55,90,0.7888888888888889,0.790909090909091,0.7828571428571429,0.881038961038961,0.7,0.8,0.7466666666666667,0.86,0.7818181818181819,0.819047619047619,35,55,0.2,28,7,12,43
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,all,aggregate,,90,,,0,0.6,90,0.7444444444444445,0.7649350649350649,0.7428890821016023,0.881038961038961,0.625,0.8571428571428571,0.7228915662650602,0.8809523809523809,0.6727272727272727,0.7628865979381443,35,55,0.14285714285714285,30,5,18,37
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0,0.45,17,0.7647058823529411,0.7045454545454546,0.7166666666666667,0.7878787878787878,0.75,0.5,0.6,0.7692307692307693,0.9090909090909091,0.8333333333333334,6,11,0.5,3,3,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0,0.5,17,0.7647058823529411,0.7045454545454546,0.7166666666666667,0.7878787878787878,0.75,0.5,0.6,0.7692307692307693,0.9090909090909091,0.8333333333333334,6,11,0.5,3,3,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0,0.55,17,0.7647058823529411,0.7045454545454546,0.7166666666666667,0.7878787878787878,0.75,0.5,0.6,0.7692307692307693,0.9090909090909091,0.8333333333333334,6,11,0.5,3,3,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0,0.6,17,0.8235294117647058,0.7878787878787878,0.7984189723320159,0.7878787878787878,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,0.9090909090909091,0.8695652173913043,6,11,0.3333333333333333,4,2,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0,0.45,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,1.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9090909090909091,0.9523809523809523,8,11,0.0,8,0,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0,0.5,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,1.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9090909090909091,0.9523809523809523,8,11,0.0,8,0,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0,0.55,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,1.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9090909090909091,0.9523809523809523,8,11,0.0,8,0,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0,0.6,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,1.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9090909090909091,0.9523809523809523,8,11,0.0,8,0,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0,0.45,18,0.8333333333333334,0.7857142857142857,0.8036363636363637,0.8571428571428571,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857,1.0,0.88,7,11,0.42857142857142855,4,3,0,11
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0,0.5,18,0.8333333333333334,0.7857142857142857,0.8036363636363637,0.8571428571428571,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857,1.0,0.88,7,11,0.42857142857142855,4,3,0,11
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0,0.55,18,0.7777777777777778,0.7402597402597402,0.75,0.8571428571428571,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.8333333333333334,7,11,0.42857142857142855,4,3,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0,0.6,18,0.7777777777777778,0.7402597402597402,0.75,0.8571428571428571,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.8333333333333334,7,11,0.42857142857142855,4,3,1,10
