dataset,target_class,policy_variant,feature_set,model,threshold,class_label,class_value,precision,recall,f1,support
activity_post_all,activity,post_all,expanded154,lightgbm_balanced,0.6,normal,0,0.625,0.7142857142857143,0.6666666666666666,35
activity_post_all,activity,post_all,expanded154,lightgbm_balanced,0.6,activity,1,0.7560975609756098,0.6739130434782609,0.7126436781609196,46
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.4,normal,0,0.6333333333333333,0.5428571428571428,0.5846153846153846,35
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.4,activity,1,0.6862745098039216,0.7608695652173914,0.7216494845360825,46
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.5,normal,0,0.6176470588235294,0.6,0.6086956521739131,35
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.5,activity,1,0.7021276595744681,0.717391304347826,0.7096774193548387,46
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.6,normal,0,0.6153846153846154,0.6857142857142857,0.6486486486486487,35
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.6,activity,1,0.7380952380952381,0.6739130434782609,0.7045454545454546,46
activity_post_all,activity,post_all,expanded154,xgboost_balanced,0.4,normal,0,0.6785714285714286,0.5428571428571428,0.6031746031746031,35
activity_post_all,activity,post_all,expanded154,xgboost_balanced,0.4,activity,1,0.6981132075471698,0.8043478260869565,0.7474747474747475,46
activity_post_all,activity,post_all,expanded154,xgboost_balanced,0.5,normal,0,0.6842105263157895,0.7428571428571429,0.7123287671232876,35
activity_post_all,activity,post_all,expanded154,xgboost_balanced,0.5,activity,1,0.7906976744186046,0.7391304347826086,0.7640449438202247,46
activity_post_all,activity,post_all,expanded154,xgboost_balanced,0.6,normal,0,0.6666666666666666,0.8571428571428571,0.75,35
activity_post_all,activity,post_all,expanded154,xgboost_balanced,0.6,activity,1,0.8611111111111112,0.6739130434782609,0.7560975609756098,46
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.4,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.5,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.6,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,compact13,lightgbm_balanced,0.4,normal,0,0.6071428571428571,0.4857142857142857,0.5396825396825397,35
activity_pre_all,activity,pre_all,compact13,lightgbm_balanced,0.4,activity,1,0.6666666666666666,0.7659574468085106,0.7128712871287128,47
activity_pre_all,activity,pre_all,compact13,lightgbm_balanced,0.5,normal,0,0.5833333333333334,0.6,0.5915492957746479,35
activity_pre_all,activity,pre_all,compact13,lightgbm_balanced,0.5,activity,1,0.6956521739130435,0.6808510638297872,0.6881720430107527,47
activity_pre_all,activity,pre_all,compact13,lightgbm_balanced,0.6,normal,0,0.6,0.8571428571428571,0.7058823529411765,35
activity_pre_all,activity,pre_all,compact13,lightgbm_balanced,0.6,activity,1,0.84375,0.574468085106383,0.6835443037974683,47
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.4,normal,0,0.5151515151515151,0.4857142857142857,0.5,35
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.4,activity,1,0.6326530612244898,0.6595744680851063,0.6458333333333334,47
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.5,normal,0,0.4523809523809524,0.5428571428571428,0.4935064935064935,35
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.5,activity,1,0.6,0.5106382978723404,0.5517241379310345,47
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.6,normal,0,0.4423076923076923,0.6571428571428571,0.5287356321839081,35
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.6,activity,1,0.6,0.3829787234042553,0.4675324675324675,47
activity_pre_all,activity,pre_all,compact13,xgboost_balanced,0.4,normal,0,0.6896551724137931,0.5714285714285714,0.625,35
activity_pre_all,activity,pre_all,compact13,xgboost_balanced,0.4,activity,1,0.7169811320754716,0.8085106382978723,0.76,47
activity_pre_all,activity,pre_all,compact13,xgboost_balanced,0.5,normal,0,0.6410256410256411,0.7142857142857143,0.6756756756756757,35
activity_pre_all,activity,pre_all,compact13,xgboost_balanced,0.5,activity,1,0.7674418604651163,0.7021276595744681,0.7333333333333333,47
activity_pre_all,activity,pre_all,compact13,xgboost_balanced,0.6,normal,0,0.6122448979591837,0.8571428571428571,0.7142857142857143,35
activity_pre_all,activity,pre_all,compact13,xgboost_balanced,0.6,activity,1,0.8484848484848485,0.5957446808510638,0.7,47
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.4,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.5,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.6,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,expanded154,lightgbm_balanced,0.4,normal,0,0.5833333333333334,0.6,0.5915492957746479,35
activity_pre_all,activity,pre_all,expanded154,lightgbm_balanced,0.4,activity,1,0.6956521739130435,0.6808510638297872,0.6881720430107527,47
activity_pre_all,activity,pre_all,expanded154,lightgbm_balanced,0.5,normal,0,0.6190476190476191,0.7428571428571429,0.6753246753246753,35
activity_pre_all,activity,pre_all,expanded154,lightgbm_balanced,0.5,activity,1,0.775,0.6595744680851063,0.7126436781609196,47
activity_pre_all,activity,pre_all,expanded154,lightgbm_balanced,0.6,normal,0,0.6444444444444445,0.8285714285714286,0.725,35
activity_pre_all,activity,pre_all,expanded154,lightgbm_balanced,0.6,activity,1,0.8378378378378378,0.6595744680851063,0.7380952380952381,47
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.4,normal,0,0.7714285714285715,0.7714285714285715,0.7714285714285715,35
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.4,activity,1,0.8297872340425532,0.8297872340425532,0.8297872340425532,47
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.5,normal,0,0.7368421052631579,0.8,0.7671232876712328,35
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.5,activity,1,0.8409090909090909,0.7872340425531915,0.8131868131868132,47
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.6,normal,0,0.7435897435897436,0.8285714285714286,0.7837837837837838,35
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.6,activity,1,0.8604651162790697,0.7872340425531915,0.8222222222222222,47
activity_pre_all,activity,pre_all,expanded154,xgboost_balanced,0.4,normal,0,0.6111111111111112,0.6285714285714286,0.6197183098591549,35
activity_pre_all,activity,pre_all,expanded154,xgboost_balanced,0.4,activity,1,0.717391304347826,0.7021276595744681,0.7096774193548387,47
activity_pre_all,activity,pre_all,expanded154,xgboost_balanced,0.5,normal,0,0.6190476190476191,0.7428571428571429,0.6753246753246753,35
activity_pre_all,activity,pre_all,expanded154,xgboost_balanced,0.5,activity,1,0.775,0.6595744680851063,0.7126436781609196,47
activity_pre_all,activity,pre_all,expanded154,xgboost_balanced,0.6,normal,0,0.6530612244897959,0.9142857142857143,0.7619047619047619,35
activity_pre_all,activity,pre_all,expanded154,xgboost_balanced,0.6,activity,1,0.9090909090909091,0.6382978723404256,0.75,47
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.4,fault,1,0.6111111111111112,1.0,0.7586206896551724,55
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.5,fault,1,0.6111111111111112,1.0,0.7586206896551724,55
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.6,fault,1,0.6111111111111112,1.0,0.7586206896551724,55
fault_no_overlap,fault,no_overlap,compact13,lightgbm_balanced,0.4,normal,0,0.7931034482758621,0.6571428571428571,0.71875,35
fault_no_overlap,fault,no_overlap,compact13,lightgbm_balanced,0.4,fault,1,0.8032786885245902,0.8909090909090909,0.8448275862068966,55
fault_no_overlap,fault,no_overlap,compact13,lightgbm_balanced,0.5,normal,0,0.7428571428571429,0.7428571428571429,0.7428571428571429,35
fault_no_overlap,fault,no_overlap,compact13,lightgbm_balanced,0.5,fault,1,0.8363636363636363,0.8363636363636363,0.8363636363636363,55
fault_no_overlap,fault,no_overlap,compact13,lightgbm_balanced,0.6,normal,0,0.7222222222222222,0.7428571428571429,0.7323943661971831,35
fault_no_overlap,fault,no_overlap,compact13,lightgbm_balanced,0.6,fault,1,0.8333333333333334,0.8181818181818182,0.8256880733944955,55
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.4,normal,0,0.7575757575757576,0.7142857142857143,0.7352941176470589,35
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.4,fault,1,0.8245614035087719,0.8545454545454545,0.8392857142857143,55
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.5,normal,0,0.65,0.7428571428571429,0.6933333333333334,35
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.5,fault,1,0.82,0.7454545454545455,0.780952380952381,55
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.6,normal,0,0.6,0.8571428571428571,0.7058823529411765,35
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.6,fault,1,0.875,0.6363636363636364,0.7368421052631579,55
fault_no_overlap,fault,no_overlap,compact13,xgboost_balanced,0.4,normal,0,0.7857142857142857,0.6285714285714286,0.6984126984126984,35
fault_no_overlap,fault,no_overlap,compact13,xgboost_balanced,0.4,fault,1,0.7903225806451613,0.8909090909090909,0.8376068376068376,55
fault_no_overlap,fault,no_overlap,compact13,xgboost_balanced,0.5,normal,0,0.8064516129032258,0.7142857142857143,0.7575757575757576,35
fault_no_overlap,fault,no_overlap,compact13,xgboost_balanced,0.5,fault,1,0.8305084745762712,0.8909090909090909,0.8596491228070176,55
fault_no_overlap,fault,no_overlap,compact13,xgboost_balanced,0.6,normal,0,0.7,0.8,0.7466666666666667,35
fault_no_overlap,fault,no_overlap,compact13,xgboost_balanced,0.6,fault,1,0.86,0.7818181818181819,0.819047619047619,55
fault_no_overlap,fault,no_overlap,expanded154,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
fault_no_overlap,fault,no_overlap,expanded154,dummy_most_frequent,0.4,fault,1,0.6111111111111112,1.0,0.7586206896551724,55
fault_no_overlap,fault,no_overlap,expanded154,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
fault_no_overlap,fault,no_overlap,expanded154,dummy_most_frequent,0.5,fault,1,0.6111111111111112,1.0,0.7586206896551724,55
fault_no_overlap,fault,no_overlap,expanded154,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
