threshold,rows,accuracy,balanced_accuracy,roc_auc,precision_event,recall_event,f1_event,normal_fpr,tn,fp,fn,tp,dataset,feature_set,feature_count,model,fold,metric_scope,train_rows,train_extra_rows_used,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_event_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,overall_decision_at_t0_5
0.5,185,0.572972972972973,0.7038095238095238,0.7560000000000001,0.961038961038961,0.49333333333333335,0.6519823788546255,0.08571428571428572,32,3,76,74,reference_low_overlap_hybrid,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.20380952380952377,False,True,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,185,0.43783783783783786,0.6423809523809524,0.7560000000000001,0.9791666666666666,0.31333333333333335,0.47474747474747475,0.02857142857142857,34,1,103,47,reference_low_overlap_hybrid,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.14238095238095239,False,True,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,185,0.7675675675675676,0.6376190476190476,0.7872380952380953,0.8639455782312925,0.8466666666666667,0.8552188552188552,0.5714285714285714,15,20,23,127,reference_low_overlap_hybrid,expanded154,154,logistic_balanced,all,aggregate,,0,185,,,0,0.5,0.13761904761904764,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,185,0.7783783783783784,0.699047619047619,0.7872380952380953,0.8920863309352518,0.8266666666666667,0.8581314878892734,0.42857142857142855,20,15,26,124,reference_low_overlap_hybrid,expanded154,154,logistic_balanced,all,aggregate,,0,185,,,0,0.5,0.19904761904761903,True,False,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,185,0.7783783783783784,0.720952380952381,0.7872380952380953,0.9037037037037037,0.8133333333333334,0.856140350877193,0.37142857142857144,22,13,28,122,reference_low_overlap_hybrid,expanded154,154,logistic_balanced,all,aggregate,,0,185,,,0,0.5,0.220952380952381,True,False,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,185,0.8,0.580952380952381,0.7798095238095238,0.8383233532934131,0.9333333333333333,0.8832807570977917,0.7714285714285715,8,27,10,140,reference_low_overlap_hybrid,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.080952380952381,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,185,0.7567567567567568,0.6857142857142857,0.7798095238095238,0.8888888888888888,0.8,0.8421052631578947,0.42857142857142855,20,15,30,120,reference_low_overlap_hybrid,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.18571428571428572,True,False,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,185,0.6216216216216216,0.7338095238095238,0.7798095238095238,0.9651162790697675,0.5533333333333333,0.7033898305084746,0.08571428571428572,32,3,67,83,reference_low_overlap_hybrid,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.2338095238095238,False,True,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,reference_pre_event_all,compact13,13,dummy_most_frequent,all,aggregate,,0,181,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,reference_pre_event_all,compact13,13,dummy_most_frequent,all,aggregate,,0,181,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,reference_pre_event_all,compact13,13,dummy_most_frequent,all,aggregate,,0,181,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,181,0.7955801104972375,0.5040117416829746,0.7727984344422701,0.807909604519774,0.9794520547945206,0.8854489164086687,0.9714285714285714,1,34,3,143,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.004011741682974579,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
