check_name,dataset,feature_set,model,threshold,reported_balanced_accuracy,recomputed_balanced_accuracy,reported_macro_f1,recomputed_macro_f1,pass,note
metric_recompute,fault_pre_all,compact13,logistic_balanced,0.4,0.8149769585253457,0.8149769585253457,0.8188608776844071,0.8188608776844071,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,compact13,logistic_balanced,0.5,0.7951612903225806,0.7951612903225806,0.7836752899197146,0.7836752899197146,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,compact13,logistic_balanced,0.6,0.7753456221198156,0.7753456221198156,0.7480519480519481,0.7480519480519481,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,compact13,random_forest_balanced_depth3,0.4,0.7820276497695853,0.7820276497695853,0.7967459632688279,0.7967459632688279,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,compact13,random_forest_balanced_depth3,0.5,0.8292626728110599,0.8292626728110599,0.831304347826087,0.831304347826087,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,compact13,random_forest_balanced_depth3,0.6,0.7753456221198156,0.7753456221198156,0.7480519480519481,0.7480519480519481,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,dummy_most_frequent,0.4,0.5,0.5,0.389937106918239,0.389937106918239,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,dummy_most_frequent,0.5,0.5,0.5,0.389937106918239,0.389937106918239,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,dummy_most_frequent,0.6,0.5,0.5,0.389937106918239,0.389937106918239,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,extra_trees_balanced_depth3,0.4,0.5919354838709677,0.5919354838709677,0.5667642076081935,0.5667642076081935,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,extra_trees_balanced_depth3,0.5,0.7672811059907834,0.7672811059907834,0.7382622773880194,0.7382622773880194,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,extra_trees_balanced_depth3,0.6,0.6308755760368664,0.6308755760368664,0.5231071779744346,0.5231071779744346,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,logistic_balanced,0.4,0.7094470046082949,0.7094470046082949,0.7094470046082949,0.7094470046082949,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,logistic_balanced,0.5,0.7423963133640553,0.7423963133640553,0.7308247308247309,0.7308247308247309,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,logistic_balanced,0.6,0.7163594470046083,0.7163594470046083,0.6946705741886465,0.6946705741886465,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,random_forest_balanced_depth3,0.4,0.6391705069124424,0.6391705069124424,0.6408885232414644,0.6408885232414644,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,random_forest_balanced_depth3,0.5,0.7361751152073732,0.7361751152073732,0.7282913165266106,0.7282913165266106,True,independent recompute from saved predictions
metric_recompute,fault_pre_all,expanded154,random_forest_balanced_depth3,0.6,0.7412442396313363,0.7412442396313363,0.6998826416302144,0.6998826416302144,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,dummy_most_frequent,0.4,0.5,0.5,0.3394495412844037,0.3394495412844037,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,dummy_most_frequent,0.5,0.5,0.5,0.3394495412844037,0.3394495412844037,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,dummy_most_frequent,0.6,0.5,0.5,0.3394495412844037,0.3394495412844037,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,extra_trees_balanced_depth3,0.4,0.5158301158301158,0.5158301158301158,0.4115384615384616,0.4115384615384616,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,extra_trees_balanced_depth3,0.5,0.6799227799227799,0.6799227799227799,0.6799999999999999,0.6799999999999999,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,extra_trees_balanced_depth3,0.6,0.5525096525096524,0.5525096525096524,0.4666666666666667,0.4666666666666667,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,logistic_balanced,0.4,0.6911196911196911,0.6911196911196911,0.6884343036978757,0.6884343036978757,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,logistic_balanced,0.5,0.6656370656370656,0.6656370656370656,0.6656346749226006,0.6656346749226006,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,logistic_balanced,0.6,0.6814671814671815,0.6814671814671815,0.6804939224387421,0.6804939224387421,True,independent recompute from saved predictions
metric_recompute,task_no_overlap,compact13,random_forest_balanced_depth3,0.4,0.6046332046332046,0.6046332046332046,0.5851851851851851,0.5851851851851851,True,independent recompute from saved predictions
