accuracy,balanced_accuracy,precision,recall,f1,roc_auc,true_negative_count,false_positive_count,false_negative_count,true_positive_count,false_positive_rate,false_negative_rate,dataset_id,feature_set,feature_count,train_mode,model,fold,threshold,fixed_train_rows,candidate_train_rows_x,test_rows,test_normal_rows,test_fault_rows,train_groups,test_groups,candidate_train_rows_y,group_overlap_count
0.45454545454545453,0.45,0.4,0.4,0.4,0.4,3,3,3,2,0.5,0.6,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,4,0.5,55,0,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,0,0
0.36363636363636365,0.35,0.25,0.2,0.2222222222222222,0.4,3,3,4,1,0.5,0.8,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,4,0.6,55,0,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,0,0
0.5333333333333333,0.5357142857142857,0.5,0.5714285714285714,0.5333333333333333,0.5892857142857143,4,4,3,4,0.5,0.42857142857142855,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,5,0.5,51,0,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,0,0
0.5333333333333333,0.5357142857142857,0.5,0.5714285714285714,0.5333333333333333,0.5892857142857143,4,4,3,4,0.5,0.42857142857142855,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,5,0.6,51,0,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,0,0
0.5384615384615384,0.5,0.0,0.0,0.0,0.5,7,0,6,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,1,0.5,53,58,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,58,0
0.5384615384615384,0.5,0.0,0.0,0.0,0.5,7,0,6,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,1,0.6,53,58,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,58,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,2,0.5,54,62,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,62,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,2,0.6,54,62,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,62,0
0.4666666666666667,0.5,0.0,0.0,0.0,0.5,7,0,8,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,3,0.5,51,56,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,56,0
0.4666666666666667,0.5,0.0,0.0,0.0,0.5,7,0,8,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,3,0.6,51,56,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,56,0
