dataset,feature_variant,model,rank,feature,importance_metric,importance_value,feature_missing_rate,interpretation_scope
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,4,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.44262168092201604,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,5,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.4240444433148026,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,6,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.4014978811800399,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,7,p_return_gap__last_minus_first,abs_coefficient,0.22628912999198833,0.325,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,8,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.21919885826999588,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,9,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.15475247554818977,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,10,p_net_meter_flow__last_1d_std_minus_prev_6d_std,abs_coefficient,0.06773939712394986,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,11,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,abs_coefficient,0.023293535045811543,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,12,s_hc1_supply_temperature_error__last_minus_first,abs_coefficient,0.003998316326642299,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,13,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.00020242554155610278,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13_high_missing_removed,random_forest_balanced_depth3,1,p_return_gap__last_minus_first,feature_importance,0.2918269900776138,0.325,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13_high_missing_removed,random_forest_balanced_depth3,2,outdoor_temperature__last_minus_first,feature_importance,0.24508642769193045,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13_high_missing_removed,random_forest_balanced_depth3,3,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.1685717028065831,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13_high_missing_removed,random_forest_balanced_depth3,4,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.10868232236348535,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13_high_missing_removed,random_forest_balanced_depth3,5,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.09588864622685875,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13_high_missing_removed,random_forest_balanced_depth3,6,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.08994391083352848,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,1,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.19478823679845247,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,2,p_net_meter_flow__last_1d_std_minus_prev_6d_std__is_missing,feature_importance,0.1572005772005772,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,3,p_return_gap__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.14210409745293465,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,4,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std__is_missing,feature_importance,0.1384848484848485,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,5,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.12487909376280028,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,6,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.12,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,7,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.10666666666666667,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,8,p_return_gap__last_minus_first__is_missing,feature_importance,0.015876479633720256,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,9,s_hc1_supply_temperature_error__last_minus_first__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,10,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,11,outdoor_temperature__last_minus_first__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,13,outdoor_temperature__last_12h_mean_minus_prev_12h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,1,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.1442953326898075,0.5679012345679012,full_dataset_fit_for_audit_only
