dataset_id,feature,sensor,stat,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_coefficient_std,rank_abs_coefficient
strict_no_event20,p_net_supply_temperature__max,p_net_supply_temperature,max,0.45518770622261195,0.2585284005403591,0.45518770622261195,0.2585284005403591,4
strict_no_event20,p_net_supply_temperature__min,p_net_supply_temperature,min,-0.4465041477143387,0.13606686199985887,0.4465041477143387,0.13606686199985887,5
strict_no_event20,s_hc1_supply_temperature__last_minus_first,s_hc1_supply_temperature,last_minus_first,-0.44070200234462076,0.18812092030226402,0.44070200234462076,0.18812092030226402,6
strict_no_event20,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.43149724022820013,0.16356768825579418,0.43149724022820013,0.16356768825579418,7
strict_no_event20,p_hc1_return_temperature__mean,p_hc1_return_temperature,mean,0.42994125071531314,0.08734034319731027,0.42994125071531314,0.08734034319731027,8
strict_no_event20,p_net_return_temperature__min,p_net_return_temperature,min,-0.36156286566509677,0.307869542756579,0.4147183391575012,0.20785610792119086,9
strict_no_event20,p_hc1_return_temperature__std,p_hc1_return_temperature,std,0.39705608500928213,0.1967591404448841,0.39705608500928213,0.1967591404448841,10
strict_no_event20,outdoor_temperature__max,outdoor_temperature,max,0.3917811287005895,0.08707288379170336,0.3917811287005895,0.08707288379170336,11
strict_no_event20,p_net_meter_flow__min,p_net_meter_flow,min,-0.325286508451536,0.2788728493187341,0.3833903554474266,0.16216966732486765,12
strict_no_event20,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.3722329782520547,0.2295697462873377,0.38152786937057465,0.209629702452594,13
strict_no_event20,s_hc1_supply_temperature_setpoint__min,s_hc1_supply_temperature_setpoint,min,0.36088044278638587,0.19529478613409304,0.36088044278638587,0.19529478613409304,14
strict_no_event20,p_hc1_return_temperature__median,p_hc1_return_temperature,median,0.3532033970998942,0.11734032411407155,0.3532033970998942,0.11734032411407155,15
strict_no_event20,p_net_meter_flow__max,p_net_meter_flow,max,-0.30785517187711403,0.24128544876618693,0.34463089278693637,0.16800033042157522,16
strict_no_event20,p_net_meter_heat_power__min,p_net_meter_heat_power,min,-0.20904654271501327,0.31762380120318856,0.32102300677409157,0.16337299889911241,17
strict_no_event20,p_net_meter_heat_power__max,p_net_meter_heat_power,max,0.31960575500397237,0.12310339534299956,0.31960575500397237,0.12310339534299956,18
strict_no_event20,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint,last_minus_first,-0.022963551428476708,0.4511275164648196,0.3078198328401404,0.2928034837861589,19
strict_no_event20,s_hc1_supply_temperature__max,s_hc1_supply_temperature,max,-0.3033970495475244,0.2547441879185905,0.3033970495475244,0.2547441879185905,20
strict_no_event20,p_net_return_temperature__std,p_net_return_temperature,std,0.28676658725751225,0.27545144299837016,0.28676658725751225,0.27545144299837016,21
strict_no_event20,p_net_supply_temperature__std,p_net_supply_temperature,std,0.2278223776396378,0.31728827987776015,0.2861501205750811,0.25139268656445274,22
strict_no_event20,p_net_meter_flow__last_minus_first,p_net_meter_flow,last_minus_first,-0.2733569727231134,0.16491014803656326,0.2733569727231134,0.16491014803656326,23
strict_no_event20,s_hc1_supply_temperature_setpoint__std,s_hc1_supply_temperature_setpoint,std,-0.20285046855017316,0.18966725497892353,0.255588860496544,0.07584178490527964,24
strict_no_event20,p_net_meter_heat_power__last_minus_first,p_net_meter_heat_power,last_minus_first,-0.25453533879864415,0.1036798507290582,0.25453533879864415,0.1036798507290582,25
strict_no_event20,s_hc1_supply_temperature_setpoint__median,s_hc1_supply_temperature_setpoint,median,-0.2494488060051383,0.06422867939348322,0.2494488060051383,0.06422867939348322,26
strict_no_event20,p_net_meter_flow__std,p_net_meter_flow,std,-0.2024671763284051,0.17842213509186905,0.24781329428951498,0.07944412577693101,27
strict_no_event20,outdoor_temperature__std,outdoor_temperature,std,0.2373279736953518,0.15166636174301013,0.2393808037431549,0.14757856435265265,28
strict_no_event20,p_net_meter_heat_power__mean,p_net_meter_heat_power,mean,0.19202088502441086,0.1373850837986421,0.20103091476109475,0.12019942073572669,29
strict_no_event20,p_net_return_temperature__max,p_net_return_temperature,max,-0.017621449338177303,0.26075940920488594,0.18900120970087023,0.15405126500409913,30
