dataset_id,feature_set,feature,signal,stat,mean_coefficient,mean_abs_coefficient,std_coefficient
strict_no_event20,base70,p_net_meter_volume__missing_rate,p_net_meter_volume,missing_rate,-0.04538330094251817,0.04538330094251817,0.03911207358113631
strict_no_event20,base70,p_net_return_temperature__missing_rate,p_net_return_temperature,missing_rate,-0.04538330094251817,0.04538330094251817,0.03911207358113631
strict_no_event20,base70,p_net_supply_temperature__missing_rate,p_net_supply_temperature,missing_rate,-0.04538330094251817,0.04538330094251817,0.03911207358113631
strict_no_event20,base70,outdoor_temperature__missing_rate,outdoor_temperature,missing_rate,0.0,0.0,0.0
strict_no_event20,base70,p_hc1_return_temperature__missing_rate,p_hc1_return_temperature,missing_rate,0.0,0.0,0.0
strict_no_event20,base70,s_hc1_supply_temperature__missing_rate,s_hc1_supply_temperature,missing_rate,0.0,0.0,0.0
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__missing_rate,s_hc1_supply_temperature_setpoint,missing_rate,0.0,0.0,0.0
strict_no_event20,expanded154,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature,last_6h_mean_minus_prev_6h_mean,0.7622689618935935,0.7622689618935935,0.19289112141417497
strict_no_event20,expanded154,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap,last_1d_mean_minus_prev_6d_mean,0.615630160916252,0.615630160916252,0.05581990243560261
strict_no_event20,expanded154,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.39660292670966474,0.39660292670966474,0.09248856889871702
strict_no_event20,expanded154,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_hc1_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.36961818318397677,0.36961818318397677,0.10473630899473194
strict_no_event20,expanded154,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature,last_12h_mean_minus_prev_12h_mean,-0.3466566354838589,0.3466566354838589,0.04902074877151333
strict_no_event20,expanded154,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature,last_1d_std_minus_prev_6d_std,-0.33500644227690823,0.33500644227690823,0.1970792847882411
strict_no_event20,expanded154,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature,last_1d_mean_minus_prev_6d_mean,-0.3236701323620134,0.3236701323620134,0.12755606021437166
strict_no_event20,expanded154,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature_setpoint,last_1d_mean_minus_prev_6d_mean,-0.3172547639528333,0.3172547639528333,0.08987072708098527
strict_no_event20,expanded154,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_meter_flow,last_1d_std_minus_prev_6d_std,-0.29772490331671714,0.29772490331671714,0.02918251032839052
strict_no_event20,expanded154,s_hc1_supply_temperature__last_6h_mean_minus_prev_6h_mean,s_hc1_supply_temperature,last_6h_mean_minus_prev_6h_mean,-0.2451053480253559,0.29211756907486375,0.21917525681998054
