dataset_id,model,threshold,scope,fault_scope,window_policy,balanced_accuracy,recall,normal_fpr,candidate_pass,decision
system_dhw_storage__all_faults__report_pre_1d,xgboost_depth3,0.6,system_dhw_storage,all_faults,report_pre_1d,0.9335511982570806,0.9259259259259259,0.058823529411764705,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,logistic_balanced,0.4,all_systems,fault_control_controller,report_pre_1d,0.9307692307692308,1.0,0.13846153846153847,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,lightgbm_depth3,0.4,system_dhw_storage,all_faults,report_pre_1d,0.9297385620915033,0.8888888888888888,0.029411764705882353,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,lightgbm_depth3,0.5,system_dhw_storage,all_faults,report_pre_1d,0.9297385620915033,0.8888888888888888,0.029411764705882353,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,lightgbm_depth3,0.6,system_dhw_storage,all_faults,report_pre_1d,0.9297385620915033,0.8888888888888888,0.029411764705882353,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,hist_gradient_boosting,0.4,all_systems,fault_valve_actuator,report_pre_1d,0.9285714285714286,0.8571428571428571,0.0,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,hist_gradient_boosting,0.5,all_systems,fault_valve_actuator,report_pre_1d,0.9285714285714286,0.8571428571428571,0.0,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,random_forest_depth3,0.5,all_systems,fault_valve_actuator,report_pre_1d,0.9285714285714286,0.8571428571428571,0.0,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,xgboost_depth3,0.4,all_systems,fault_control_controller,report_pre_1d,0.926923076923077,0.9,0.046153846153846156,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,xgboost_depth3,0.5,all_systems,fault_control_controller,report_pre_1d,0.926923076923077,0.9,0.046153846153846156,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,logistic_balanced,0.6,system_dhw_storage,all_faults,report_pre_1d,0.9188453159041394,0.9259259259259259,0.08823529411764706,True,window_model_candidate
all_systems__fault_control_controller__report_pre_5d,logistic_balanced,0.4,all_systems,fault_control_controller,report_pre_5d,0.9153846153846155,1.0,0.16923076923076924,True,window_model_candidate
system_dhw_storage_return__all_faults__report_pre_1d,lightgbm_depth3,0.4,system_dhw_storage_return,all_faults,report_pre_1d,0.9083333333333333,0.9,0.08333333333333333,True,window_model_candidate
system_dhw_storage_return__all_faults__report_pre_1d,lightgbm_depth3,0.5,system_dhw_storage_return,all_faults,report_pre_1d,0.9083333333333333,0.9,0.08333333333333333,True,window_model_candidate
system_dhw_storage_return__all_faults__report_pre_1d,lightgbm_depth3,0.6,system_dhw_storage_return,all_faults,report_pre_1d,0.9083333333333333,0.9,0.08333333333333333,True,window_model_candidate
system_heating_common_only__all_faults__report_pre_3d,random_forest_depth3,0.4,system_heating_common_only,all_faults,report_pre_3d,0.90625,1.0,0.1875,True,window_model_candidate
system_heating_common_only__all_faults__report_pre_7d,random_forest_depth3,0.4,system_heating_common_only,all_faults,report_pre_7d,0.90625,1.0,0.1875,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,logistic_balanced,0.6,all_systems,fault_control_controller,report_pre_1d,0.9038461538461539,0.9,0.09230769230769231,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,hist_gradient_boosting,0.5,all_systems,fault_pump_failure,report_pre_1d,0.9,0.8,0.0,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,xgboost_depth3,0.5,all_systems,fault_pump_failure,report_pre_1d,0.9,0.8,0.0,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,xgboost_depth3,0.6,all_systems,fault_pump_failure,report_pre_1d,0.9,0.8,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_5d,logistic_balanced,0.5,all_systems,fault_leakage_water_loss,report_pre_5d,0.8982905982905982,0.8888888888888888,0.09230769230769231,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_7d,logistic_balanced,0.6,all_systems,fault_pressure_regulator,report_pre_7d,0.8978021978021977,0.8571428571428571,0.06153846153846154,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,logistic_balanced,0.5,system_dhw_storage,all_faults,report_pre_1d,0.8970588235294117,1.0,0.20588235294117646,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,xgboost_depth3,0.6,all_systems,fault_control_controller,report_pre_1d,0.8923076923076924,0.8,0.015384615384615385,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,lightgbm_depth3,0.4,all_systems,fault_leakage_water_loss,report_pre_1d,0.8888888888888888,0.7777777777777778,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,lightgbm_depth3,0.5,all_systems,fault_leakage_water_loss,report_pre_1d,0.8888888888888888,0.7777777777777778,0.0,True,window_model_candidate
