dataset_id,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
all_systems__fault_control_controller__report_pre_1d,hist_gradient_boosting,0.6,75,65,10,0.95,1.0,0.9,0.9473684210526315,0.0,65,0,1,9
all_systems__fault_control_controller__report_pre_1d,lightgbm_depth3,0.4,75,65,10,0.9346153846153846,0.8181818181818182,0.9,0.8571428571428571,0.03076923076923077,63,2,1,9
all_systems__fault_control_controller__report_pre_1d,lightgbm_depth3,0.5,75,65,10,0.9346153846153846,0.8181818181818182,0.9,0.8571428571428571,0.03076923076923077,63,2,1,9
all_systems__fault_control_controller__report_pre_1d,lightgbm_depth3,0.6,75,65,10,0.9423076923076923,0.9,0.9,0.9,0.015384615384615385,64,1,1,9
all_systems__fault_control_controller__report_pre_1d,logistic_balanced,0.4,75,65,10,0.9307692307692308,0.5263157894736842,1.0,0.6896551724137931,0.13846153846153847,56,9,0,10
all_systems__fault_control_controller__report_pre_1d,logistic_balanced,0.5,75,65,10,0.9461538461538461,0.5882352941176471,1.0,0.7407407407407407,0.1076923076923077,58,7,0,10
all_systems__fault_control_controller__report_pre_1d,logistic_balanced,0.6,75,65,10,0.9038461538461539,0.6,0.9,0.72,0.09230769230769231,59,6,1,9
all_systems__fault_control_controller__report_pre_1d,random_forest_depth3,0.4,75,65,10,0.9923076923076923,0.9090909090909091,1.0,0.9523809523809523,0.015384615384615385,64,1,0,10
all_systems__fault_control_controller__report_pre_1d,random_forest_depth3,0.5,75,65,10,1.0,1.0,1.0,1.0,0.0,65,0,0,10
all_systems__fault_control_controller__report_pre_1d,random_forest_depth3,0.6,75,65,10,0.95,1.0,0.9,0.9473684210526315,0.0,65,0,1,9
all_systems__fault_control_controller__report_pre_1d,xgboost_depth3,0.4,75,65,10,0.926923076923077,0.75,0.9,0.8181818181818182,0.046153846153846156,62,3,1,9
all_systems__fault_control_controller__report_pre_1d,xgboost_depth3,0.5,75,65,10,0.926923076923077,0.75,0.9,0.8181818181818182,0.046153846153846156,62,3,1,9
all_systems__fault_control_controller__report_pre_1d,xgboost_depth3,0.6,75,65,10,0.8923076923076924,0.8888888888888888,0.8,0.8421052631578947,0.015384615384615385,64,1,2,8
all_systems__fault_control_controller__report_pre_3d,dummy_most_frequent,0.4,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_3d,dummy_most_frequent,0.5,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_3d,dummy_most_frequent,0.6,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_3d,hist_gradient_boosting,0.4,75,65,10,0.5846153846153846,0.5,0.2,0.2857142857142857,0.03076923076923077,63,2,8,2
all_systems__fault_control_controller__report_pre_3d,hist_gradient_boosting,0.5,75,65,10,0.5423076923076924,0.5,0.1,0.16666666666666666,0.015384615384615385,64,1,9,1
all_systems__fault_control_controller__report_pre_3d,hist_gradient_boosting,0.6,75,65,10,0.5423076923076924,0.5,0.1,0.16666666666666666,0.015384615384615385,64,1,9,1
all_systems__fault_control_controller__report_pre_3d,lightgbm_depth3,0.4,75,65,10,0.7230769230769231,0.375,0.6,0.46153846153846156,0.15384615384615385,55,10,4,6
all_systems__fault_control_controller__report_pre_3d,lightgbm_depth3,0.5,75,65,10,0.6884615384615385,0.38461538461538464,0.5,0.43478260869565216,0.12307692307692308,57,8,5,5
all_systems__fault_control_controller__report_pre_3d,lightgbm_depth3,0.6,75,65,10,0.6615384615384616,0.4444444444444444,0.4,0.42105263157894735,0.07692307692307693,60,5,6,4
all_systems__fault_control_controller__report_pre_3d,logistic_balanced,0.4,75,65,10,0.8769230769230769,0.38461538461538464,1.0,0.5555555555555556,0.24615384615384617,49,16,0,10
all_systems__fault_control_controller__report_pre_3d,logistic_balanced,0.5,75,65,10,0.8884615384615384,0.5294117647058824,0.9,0.6666666666666666,0.12307692307692308,57,8,1,9
all_systems__fault_control_controller__report_pre_3d,logistic_balanced,0.6,75,65,10,0.8115384615384615,0.5833333333333334,0.7,0.6363636363636364,0.07692307692307693,60,5,3,7
all_systems__fault_control_controller__report_pre_3d,random_forest_depth3,0.4,75,65,10,0.8384615384615385,0.5,0.8,0.6153846153846154,0.12307692307692308,57,8,2,8
all_systems__fault_control_controller__report_pre_3d,random_forest_depth3,0.5,75,65,10,0.7192307692307692,0.5555555555555556,0.5,0.5263157894736842,0.06153846153846154,61,4,5,5
all_systems__fault_control_controller__report_pre_3d,random_forest_depth3,0.6,75,65,10,0.6923076923076923,0.8,0.4,0.5333333333333333,0.015384615384615385,64,1,6,4
all_systems__fault_control_controller__report_pre_3d,xgboost_depth3,0.4,75,65,10,0.8307692307692308,0.47058823529411764,0.8,0.5925925925925926,0.13846153846153847,56,9,2,8
all_systems__fault_control_controller__report_pre_3d,xgboost_depth3,0.5,75,65,10,0.7884615384615384,0.4666666666666667,0.7,0.56,0.12307692307692308,57,8,3,7
all_systems__fault_control_controller__report_pre_3d,xgboost_depth3,0.6,75,65,10,0.7961538461538462,0.5,0.7,0.5833333333333334,0.1076923076923077,58,7,3,7
all_systems__fault_control_controller__report_pre_5d,dummy_most_frequent,0.4,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_5d,dummy_most_frequent,0.5,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_5d,dummy_most_frequent,0.6,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_5d,hist_gradient_boosting,0.4,75,65,10,0.6846153846153846,0.6666666666666666,0.4,0.5,0.03076923076923077,63,2,6,4
all_systems__fault_control_controller__report_pre_5d,hist_gradient_boosting,0.5,75,65,10,0.5923076923076923,0.6666666666666666,0.2,0.3076923076923077,0.015384615384615385,64,1,8,2
all_systems__fault_control_controller__report_pre_5d,hist_gradient_boosting,0.6,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_5d,lightgbm_depth3,0.4,75,65,10,0.7538461538461538,0.5,0.6,0.5454545454545454,0.09230769230769231,59,6,4,6
all_systems__fault_control_controller__report_pre_5d,lightgbm_depth3,0.5,75,65,10,0.7692307692307692,0.6,0.6,0.6,0.06153846153846154,61,4,4,6
all_systems__fault_control_controller__report_pre_5d,lightgbm_depth3,0.6,75,65,10,0.7192307692307692,0.5555555555555556,0.5,0.5263157894736842,0.06153846153846154,61,4,5,5
all_systems__fault_control_controller__report_pre_5d,logistic_balanced,0.4,75,65,10,0.9153846153846155,0.47619047619047616,1.0,0.6451612903225806,0.16923076923076924,54,11,0,10
all_systems__fault_control_controller__report_pre_5d,logistic_balanced,0.5,75,65,10,0.9461538461538461,0.5882352941176471,1.0,0.7407407407407407,0.1076923076923077,58,7,0,10
all_systems__fault_control_controller__report_pre_5d,logistic_balanced,0.6,75,65,10,0.8538461538461539,0.5714285714285714,0.8,0.6666666666666666,0.09230769230769231,59,6,2,8
all_systems__fault_control_controller__report_pre_5d,random_forest_depth3,0.4,75,65,10,0.823076923076923,0.4444444444444444,0.8,0.5714285714285714,0.15384615384615385,55,10,2,8
all_systems__fault_control_controller__report_pre_5d,random_forest_depth3,0.5,75,65,10,0.8269230769230769,0.7,0.7,0.7,0.046153846153846156,62,3,3,7
all_systems__fault_control_controller__report_pre_5d,random_forest_depth3,0.6,75,65,10,0.7846153846153846,0.75,0.6,0.6666666666666666,0.03076923076923077,63,2,4,6
all_systems__fault_control_controller__report_pre_5d,xgboost_depth3,0.4,75,65,10,0.8038461538461539,0.5384615384615384,0.7,0.6086956521739131,0.09230769230769231,59,6,3,7
all_systems__fault_control_controller__report_pre_5d,xgboost_depth3,0.5,75,65,10,0.8038461538461539,0.5384615384615384,0.7,0.6086956521739131,0.09230769230769231,59,6,3,7
all_systems__fault_control_controller__report_pre_5d,xgboost_depth3,0.6,75,65,10,0.7615384615384615,0.5454545454545454,0.6,0.5714285714285714,0.07692307692307693,60,5,4,6
all_systems__fault_control_controller__report_pre_7d,dummy_most_frequent,0.4,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_7d,dummy_most_frequent,0.5,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_7d,dummy_most_frequent,0.6,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_7d,hist_gradient_boosting,0.4,75,65,10,0.6846153846153846,0.6666666666666666,0.4,0.5,0.03076923076923077,63,2,6,4
all_systems__fault_control_controller__report_pre_7d,hist_gradient_boosting,0.5,75,65,10,0.65,1.0,0.3,0.46153846153846156,0.0,65,0,7,3
all_systems__fault_control_controller__report_pre_7d,hist_gradient_boosting,0.6,75,65,10,0.55,1.0,0.1,0.18181818181818182,0.0,65,0,9,1
all_systems__fault_control_controller__report_pre_7d,lightgbm_depth3,0.4,75,65,10,0.7615384615384615,0.5454545454545454,0.6,0.5714285714285714,0.07692307692307693,60,5,4,6
all_systems__fault_control_controller__report_pre_7d,lightgbm_depth3,0.5,75,65,10,0.7115384615384616,0.5,0.5,0.5,0.07692307692307693,60,5,5,5
all_systems__fault_control_controller__report_pre_7d,lightgbm_depth3,0.6,75,65,10,0.6692307692307693,0.5,0.4,0.4444444444444444,0.06153846153846154,61,4,6,4
all_systems__fault_control_controller__report_pre_7d,logistic_balanced,0.4,75,65,10,0.823076923076923,0.4444444444444444,0.8,0.5714285714285714,0.15384615384615385,55,10,2,8
all_systems__fault_control_controller__report_pre_7d,logistic_balanced,0.5,75,65,10,0.7807692307692308,0.4375,0.7,0.5384615384615384,0.13846153846153847,56,9,3,7
all_systems__fault_control_controller__report_pre_7d,logistic_balanced,0.6,75,65,10,0.7615384615384615,0.5454545454545454,0.6,0.5714285714285714,0.07692307692307693,60,5,4,6
all_systems__fault_control_controller__report_pre_7d,random_forest_depth3,0.4,75,65,10,0.7961538461538462,0.5,0.7,0.5833333333333334,0.1076923076923077,58,7,3,7
all_systems__fault_control_controller__report_pre_7d,random_forest_depth3,0.5,75,65,10,0.7769230769230769,0.6666666666666666,0.6,0.631578947368421,0.046153846153846156,62,3,4,6
all_systems__fault_control_controller__report_pre_7d,random_forest_depth3,0.6,75,65,10,0.6846153846153846,0.6666666666666666,0.4,0.5,0.03076923076923077,63,2,6,4
all_systems__fault_control_controller__report_pre_7d,xgboost_depth3,0.4,75,65,10,0.7230769230769231,0.375,0.6,0.46153846153846156,0.15384615384615385,55,10,4,6
all_systems__fault_control_controller__report_pre_7d,xgboost_depth3,0.5,75,65,10,0.7384615384615385,0.42857142857142855,0.6,0.5,0.12307692307692308,57,8,4,6
all_systems__fault_control_controller__report_pre_7d,xgboost_depth3,0.6,75,65,10,0.6538461538461539,0.4,0.4,0.4,0.09230769230769231,59,6,6,4
all_systems__fault_leakage_water_loss__report_pre_1d,dummy_most_frequent,0.4,74,65,9,0.5,0.0,0.0,0.0,0.0,65,0,9,0
all_systems__fault_leakage_water_loss__report_pre_1d,dummy_most_frequent,0.5,74,65,9,0.5,0.0,0.0,0.0,0.0,65,0,9,0
all_systems__fault_leakage_water_loss__report_pre_1d,dummy_most_frequent,0.6,74,65,9,0.5,0.0,0.0,0.0,0.0,65,0,9,0
all_systems__fault_leakage_water_loss__report_pre_1d,hist_gradient_boosting,0.4,74,65,9,0.9367521367521368,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.015384615384615385,64,1,1,8
all_systems__fault_leakage_water_loss__report_pre_1d,hist_gradient_boosting,0.5,74,65,9,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.0,65,0,1,8
all_systems__fault_leakage_water_loss__report_pre_1d,hist_gradient_boosting,0.6,74,65,9,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.0,65,0,1,8
all_systems__fault_leakage_water_loss__report_pre_1d,lightgbm_depth3,0.4,74,65,9,0.8888888888888888,1.0,0.7777777777777778,0.875,0.0,65,0,2,7
