system_capability_group,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
dhw_storage_return,dummy_most_frequent,0.4,22,12,10,0.375,0.0,0.0,0.0,0.25,9,3,10,0
dhw_storage_return,dummy_most_frequent,0.5,22,12,10,0.375,0.0,0.0,0.0,0.25,9,3,10,0
dhw_storage_return,dummy_most_frequent,0.6,22,12,10,0.375,0.0,0.0,0.0,0.25,9,3,10,0
dhw_storage_return,logistic_balanced,0.4,22,12,10,0.5916666666666667,0.5454545454545454,0.6,0.5714285714285714,0.4166666666666667,7,5,4,6
dhw_storage_return,logistic_balanced,0.5,22,12,10,0.4916666666666667,0.4444444444444444,0.4,0.42105263157894735,0.4166666666666667,7,5,6,4
dhw_storage_return,logistic_balanced,0.6,22,12,10,0.4916666666666667,0.4444444444444444,0.4,0.42105263157894735,0.4166666666666667,7,5,6,4
dhw_storage_return,random_forest_depth3,0.4,22,12,10,0.6916666666666667,0.6153846153846154,0.8,0.6956521739130435,0.4166666666666667,7,5,2,8
dhw_storage_return,random_forest_depth3,0.5,22,12,10,0.7583333333333333,0.8571428571428571,0.6,0.7058823529411765,0.08333333333333333,11,1,4,6
dhw_storage_return,random_forest_depth3,0.6,22,12,10,0.7083333333333333,0.8333333333333334,0.5,0.625,0.08333333333333333,11,1,5,5
dhw_storage_return,extra_trees_depth3,0.4,22,12,10,0.7083333333333334,0.5882352941176471,1.0,0.7407407407407407,0.5833333333333334,5,7,0,10
dhw_storage_return,extra_trees_depth3,0.5,22,12,10,0.7083333333333333,0.8333333333333334,0.5,0.625,0.08333333333333333,11,1,5,5
dhw_storage_return,extra_trees_depth3,0.6,22,12,10,0.65,1.0,0.3,0.46153846153846156,0.0,12,0,7,3
dhw_storage_return,hist_gradient_boosting,0.4,22,12,10,0.3416666666666667,0.35294117647058826,0.6,0.4444444444444444,0.9166666666666666,1,11,4,6
dhw_storage_return,hist_gradient_boosting,0.5,22,12,10,0.375,0.0,0.0,0.0,0.25,9,3,10,0
dhw_storage_return,hist_gradient_boosting,0.6,22,12,10,0.5,0.0,0.0,0.0,0.0,12,0,10,0
dhw_storage_return,lightgbm_depth3,0.4,22,12,10,0.8666666666666667,0.8181818181818182,0.9,0.8571428571428571,0.16666666666666666,10,2,1,9
dhw_storage_return,lightgbm_depth3,0.5,22,12,10,0.8666666666666667,0.8181818181818182,0.9,0.8571428571428571,0.16666666666666666,10,2,1,9
dhw_storage_return,lightgbm_depth3,0.6,22,12,10,0.8166666666666667,0.8,0.8,0.8,0.16666666666666666,10,2,2,8
dhw_storage_return,xgboost_depth3,0.4,22,12,10,0.7333333333333334,0.6666666666666666,0.8,0.7272727272727273,0.3333333333333333,8,4,2,8
dhw_storage_return,xgboost_depth3,0.5,22,12,10,0.7666666666666666,0.7777777777777778,0.7,0.7368421052631579,0.16666666666666666,10,2,3,7
dhw_storage_return,xgboost_depth3,0.6,22,12,10,0.8083333333333333,0.875,0.7,0.7777777777777778,0.08333333333333333,11,1,3,7
heating_common_only,dummy_most_frequent,0.4,26,16,10,0.5,0.0,0.0,0.0,0.0,16,0,10,0
heating_common_only,dummy_most_frequent,0.5,26,16,10,0.5,0.0,0.0,0.0,0.0,16,0,10,0
heating_common_only,dummy_most_frequent,0.6,26,16,10,0.5,0.0,0.0,0.0,0.0,16,0,10,0
heating_common_only,logistic_balanced,0.4,26,16,10,0.625,0.5555555555555556,0.5,0.5263157894736842,0.25,12,4,5,5
heating_common_only,logistic_balanced,0.5,26,16,10,0.75,1.0,0.5,0.6666666666666666,0.0,16,0,5,5
heating_common_only,logistic_balanced,0.6,26,16,10,0.75,1.0,0.5,0.6666666666666666,0.0,16,0,5,5
heating_common_only,random_forest_depth3,0.4,26,16,10,0.85625,0.75,0.9,0.8181818181818182,0.1875,13,3,1,9
heating_common_only,random_forest_depth3,0.5,26,16,10,0.76875,0.8571428571428571,0.6,0.7058823529411765,0.0625,15,1,4,6
heating_common_only,random_forest_depth3,0.6,26,16,10,0.61875,0.75,0.3,0.42857142857142855,0.0625,15,1,7,3
heating_common_only,extra_trees_depth3,0.4,26,16,10,0.39375,0.3157894736842105,0.6,0.41379310344827586,0.8125,3,13,4,6
heating_common_only,extra_trees_depth3,0.5,26,16,10,0.5375,0.5,0.2,0.2857142857142857,0.125,14,2,8,2
heating_common_only,extra_trees_depth3,0.6,26,16,10,0.5,0.0,0.0,0.0,0.0,16,0,10,0
heating_common_only,hist_gradient_boosting,0.4,26,16,10,0.3875,0.2857142857142857,0.4,0.3333333333333333,0.625,6,10,6,4
heating_common_only,hist_gradient_boosting,0.5,26,16,10,0.5,0.0,0.0,0.0,0.0,16,0,10,0
heating_common_only,hist_gradient_boosting,0.6,26,16,10,0.5,0.0,0.0,0.0,0.0,16,0,10,0
heating_common_only,lightgbm_depth3,0.4,26,16,10,0.7875,0.7777777777777778,0.7,0.7368421052631579,0.125,14,2,3,7
heating_common_only,lightgbm_depth3,0.5,26,16,10,0.7875,0.7777777777777778,0.7,0.7368421052631579,0.125,14,2,3,7
heating_common_only,lightgbm_depth3,0.6,26,16,10,0.7875,0.7777777777777778,0.7,0.7368421052631579,0.125,14,2,3,7
heating_common_only,xgboost_depth3,0.4,26,16,10,0.74375,0.6153846153846154,0.8,0.6956521739130435,0.3125,11,5,2,8
heating_common_only,xgboost_depth3,0.5,26,16,10,0.74375,0.6153846153846154,0.8,0.6956521739130435,0.3125,11,5,2,8
heating_common_only,xgboost_depth3,0.6,26,16,10,0.675,0.6,0.6,0.6,0.25,12,4,4,6
