strategy,evaluation_scope,feature_set,model,fallback_threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
system_specific_threshold,M2_to_M1,common13,hist_gradient_boosting,0.5,61,35,26,0.6697802197802198,0.6071428571428571,0.6538461538461539,0.6296296296296297,0.3142857142857143,24,11,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,hist_gradient_boosting,0.5,112,65,47,0.8746317512274959,0.8367346938775511,0.8723404255319149,0.8541666666666666,0.12307692307692308,57,8,6,41
system_specific_threshold,M1_CV,common13,hist_gradient_boosting,0.6,61,35,26,0.7318681318681319,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.22857142857142856,27,8,8,18
system_specific_threshold,M1_to_M2,common13,hist_gradient_boosting,0.6,51,30,21,0.7380952380952381,1.0,0.47619047619047616,0.6451612903225806,0.0,30,0,11,10
system_specific_threshold,M2_CV,common13,hist_gradient_boosting,0.6,51,30,21,0.7976190476190477,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.16666666666666666,25,5,5,16
system_specific_threshold,M2_to_M1,common13,hist_gradient_boosting,0.6,61,35,26,0.6697802197802198,0.6071428571428571,0.6538461538461539,0.6296296296296297,0.3142857142857143,24,11,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,hist_gradient_boosting,0.6,112,65,47,0.8746317512274959,0.8367346938775511,0.8723404255319149,0.8541666666666666,0.12307692307692308,57,8,6,41
system_specific_threshold,M1_CV,common13,lightgbm_depth3,0.4,61,35,26,0.7082417582417582,0.6333333333333333,0.7307692307692307,0.6785714285714286,0.3142857142857143,24,11,7,19
system_specific_threshold,M1_to_M2,common13,lightgbm_depth3,0.4,51,30,21,0.8309523809523809,0.8421052631578947,0.7619047619047619,0.8,0.1,27,3,5,16
system_specific_threshold,M2_CV,common13,lightgbm_depth3,0.4,51,30,21,0.7976190476190477,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.16666666666666666,25,5,5,16
system_specific_threshold,M2_to_M1,common13,lightgbm_depth3,0.4,61,35,26,0.7461538461538462,0.72,0.6923076923076923,0.7058823529411765,0.2,28,7,8,18
system_specific_threshold,Pooled_M1_M2_group_CV,common13,lightgbm_depth3,0.4,112,65,47,0.8900163666121113,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.09230769230769231,59,6,6,41
system_specific_threshold,M1_CV,common13,lightgbm_depth3,0.5,61,35,26,0.7082417582417582,0.6333333333333333,0.7307692307692307,0.6785714285714286,0.3142857142857143,24,11,7,19
system_specific_threshold,M1_to_M2,common13,lightgbm_depth3,0.5,51,30,21,0.8309523809523809,0.8421052631578947,0.7619047619047619,0.8,0.1,27,3,5,16
system_specific_threshold,M2_CV,common13,lightgbm_depth3,0.5,51,30,21,0.7976190476190477,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.16666666666666666,25,5,5,16
system_specific_threshold,M2_to_M1,common13,lightgbm_depth3,0.5,61,35,26,0.7461538461538462,0.72,0.6923076923076923,0.7058823529411765,0.2,28,7,8,18
system_specific_threshold,Pooled_M1_M2_group_CV,common13,lightgbm_depth3,0.5,112,65,47,0.8900163666121113,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.09230769230769231,59,6,6,41
