evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M1_CV,common13,xgboost_depth3,0.6,61,35,26,0.7027472527472527,0.7142857142857143,0.5769230769230769,0.6382978723404256,0.17142857142857143,29,6,11,15
M1_CV,standard_common,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,standard_common,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,standard_common,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,standard_common,extra_trees_depth3,0.4,61,35,26,0.39395604395604394,0.36538461538461536,0.7307692307692307,0.48717948717948717,0.9428571428571428,2,33,7,19
M1_CV,standard_common,extra_trees_depth3,0.5,61,35,26,0.5164835164835164,0.4444444444444444,0.46153846153846156,0.4528301886792453,0.42857142857142855,20,15,14,12
M1_CV,standard_common,extra_trees_depth3,0.6,61,35,26,0.5098901098901099,0.5,0.07692307692307693,0.13333333333333333,0.05714285714285714,33,2,24,2
M1_CV,standard_common,extra_trees_depth5,0.4,61,35,26,0.4412087912087912,0.38636363636363635,0.6538461538461539,0.4857142857142857,0.7714285714285715,8,27,9,17
M1_CV,standard_common,extra_trees_depth5,0.5,61,35,26,0.5686813186813187,0.5238095238095238,0.4230769230769231,0.46808510638297873,0.2857142857142857,25,10,15,11
M1_CV,standard_common,extra_trees_depth5,0.6,61,35,26,0.606043956043956,0.7777777777777778,0.2692307692307692,0.4,0.05714285714285714,33,2,19,7
M1_CV,standard_common,hist_gradient_boosting,0.4,61,35,26,0.6263736263736264,0.5833333333333334,0.5384615384615384,0.56,0.2857142857142857,25,10,12,14
M1_CV,standard_common,hist_gradient_boosting,0.5,61,35,26,0.6307692307692307,0.631578947368421,0.46153846153846156,0.5333333333333333,0.2,28,7,14,12
M1_CV,standard_common,hist_gradient_boosting,0.6,61,35,26,0.6494505494505495,0.7692307692307693,0.38461538461538464,0.5128205128205128,0.08571428571428572,32,3,16,10
M1_CV,standard_common,lightgbm_depth3,0.4,61,35,26,0.5406593406593406,0.4666666666666667,0.5384615384615384,0.5,0.45714285714285713,19,16,12,14
M1_CV,standard_common,lightgbm_depth3,0.5,61,35,26,0.5692307692307692,0.5,0.5384615384615384,0.5185185185185185,0.4,21,14,12,14
M1_CV,standard_common,lightgbm_depth3,0.6,61,35,26,0.5736263736263736,0.5217391304347826,0.46153846153846156,0.4897959183673469,0.3142857142857143,24,11,14,12
M1_CV,standard_common,logistic_balanced,0.4,61,35,26,0.5362637362637362,0.45714285714285713,0.6153846153846154,0.5245901639344263,0.5428571428571428,16,19,10,16
M1_CV,standard_common,logistic_balanced,0.5,61,35,26,0.554945054945055,0.4827586206896552,0.5384615384615384,0.509090909090909,0.42857142857142855,20,15,12,14
M1_CV,standard_common,logistic_balanced,0.6,61,35,26,0.5543956043956044,0.5,0.4230769230769231,0.4583333333333333,0.3142857142857143,24,11,15,11
M1_CV,standard_common,random_forest_depth3,0.4,61,35,26,0.5126373626373626,0.4358974358974359,0.6538461538461539,0.5230769230769231,0.6285714285714286,13,22,9,17
M1_CV,standard_common,random_forest_depth3,0.5,61,35,26,0.5692307692307692,0.5,0.5384615384615384,0.5185185185185185,0.4,21,14,12,14
M1_CV,standard_common,random_forest_depth3,0.6,61,35,26,0.5967032967032967,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.11428571428571428,31,4,18,8
M1_CV,standard_common,random_forest_depth5,0.4,61,35,26,0.5412087912087912,0.4594594594594595,0.6538461538461539,0.5396825396825397,0.5714285714285714,15,20,9,17
M1_CV,standard_common,random_forest_depth5,0.5,61,35,26,0.55,0.48148148148148145,0.5,0.49056603773584906,0.4,21,14,13,13
M1_CV,standard_common,random_forest_depth5,0.6,61,35,26,0.5824175824175823,0.6153846153846154,0.3076923076923077,0.41025641025641024,0.14285714285714285,30,5,18,8
M1_CV,standard_common,xgboost_depth3,0.4,61,35,26,0.5741758241758241,0.5,0.5769230769230769,0.5357142857142857,0.42857142857142855,20,15,11,15
M1_CV,standard_common,xgboost_depth3,0.5,61,35,26,0.6313186813186813,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.3142857142857143,24,11,11,15
M1_CV,standard_common,xgboost_depth3,0.6,61,35,26,0.6450549450549451,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.17142857142857143,29,6,14,12
M1_CV,standard_common_plus_system,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,standard_common_plus_system,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,standard_common_plus_system,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,standard_common_plus_system,extra_trees_depth3,0.4,61,35,26,0.3989010989010989,0.37037037037037035,0.7692307692307693,0.5,0.9714285714285714,1,34,6,20
M1_CV,standard_common_plus_system,extra_trees_depth3,0.5,61,35,26,0.49725274725274726,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.42857142857142855,20,15,15,11
M1_CV,standard_common_plus_system,extra_trees_depth3,0.6,61,35,26,0.5483516483516484,0.6666666666666666,0.15384615384615385,0.25,0.05714285714285714,33,2,22,4
M1_CV,standard_common_plus_system,extra_trees_depth5,0.4,61,35,26,0.3884615384615384,0.3488372093023256,0.5769230769230769,0.43478260869565216,0.8,7,28,11,15
M1_CV,standard_common_plus_system,extra_trees_depth5,0.5,61,35,26,0.45384615384615384,0.36363636363636365,0.3076923076923077,0.3333333333333333,0.4,21,14,18,8
M1_CV,standard_common_plus_system,extra_trees_depth5,0.6,61,35,26,0.5197802197802197,0.5,0.15384615384615385,0.23529411764705882,0.11428571428571428,31,4,22,4
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.4,61,35,26,0.6263736263736264,0.5833333333333334,0.5384615384615384,0.56,0.2857142857142857,25,10,12,14
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.5,61,35,26,0.6307692307692307,0.631578947368421,0.46153846153846156,0.5333333333333333,0.2,28,7,14,12
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.6,61,35,26,0.6494505494505495,0.7692307692307693,0.38461538461538464,0.5128205128205128,0.08571428571428572,32,3,16,10
M1_CV,standard_common_plus_system,lightgbm_depth3,0.4,61,35,26,0.5692307692307692,0.5,0.5384615384615384,0.5185185185185185,0.4,21,14,12,14
M1_CV,standard_common_plus_system,lightgbm_depth3,0.5,61,35,26,0.5978021978021978,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.34285714285714286,23,12,12,14
M1_CV,standard_common_plus_system,lightgbm_depth3,0.6,61,35,26,0.582967032967033,0.55,0.4230769230769231,0.4782608695652174,0.2571428571428571,26,9,15,11
M1_CV,standard_common_plus_system,logistic_balanced,0.4,61,35,26,0.4879120879120879,0.41379310344827586,0.46153846153846156,0.43636363636363634,0.4857142857142857,18,17,14,12
M1_CV,standard_common_plus_system,logistic_balanced,0.5,61,35,26,0.49725274725274726,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.42857142857142855,20,15,15,11
M1_CV,standard_common_plus_system,logistic_balanced,0.6,61,35,26,0.5065934065934066,0.43478260869565216,0.38461538461538464,0.40816326530612246,0.37142857142857144,22,13,16,10
M1_CV,standard_common_plus_system,random_forest_depth3,0.4,61,35,26,0.5461538461538462,0.46153846153846156,0.6923076923076923,0.5538461538461539,0.6,14,21,8,18
M1_CV,standard_common_plus_system,random_forest_depth3,0.5,61,35,26,0.5642857142857143,0.5,0.5,0.5,0.37142857142857144,22,13,13,13
M1_CV,standard_common_plus_system,random_forest_depth3,0.6,61,35,26,0.5917582417582418,0.7,0.2692307692307692,0.3888888888888889,0.08571428571428572,32,3,19,7
M1_CV,standard_common_plus_system,random_forest_depth5,0.4,61,35,26,0.5604395604395604,0.47368421052631576,0.6923076923076923,0.5625,0.5714285714285714,15,20,8,18
M1_CV,standard_common_plus_system,random_forest_depth5,0.5,61,35,26,0.5543956043956044,0.5,0.4230769230769231,0.4583333333333333,0.3142857142857143,24,11,15,11
M1_CV,standard_common_plus_system,random_forest_depth5,0.6,61,35,26,0.5824175824175823,0.6153846153846154,0.3076923076923077,0.41025641025641024,0.14285714285714285,30,5,18,8
M1_CV,standard_common_plus_system,xgboost_depth3,0.4,61,35,26,0.5598901098901099,0.4838709677419355,0.5769230769230769,0.5263157894736842,0.45714285714285713,19,16,11,15
M1_CV,standard_common_plus_system,xgboost_depth3,0.5,61,35,26,0.6598901098901099,0.625,0.5769230769230769,0.6,0.2571428571428571,26,9,11,15
M1_CV,standard_common_plus_system,xgboost_depth3,0.6,61,35,26,0.5972527472527472,0.5789473684210527,0.4230769230769231,0.4888888888888889,0.22857142857142856,27,8,15,11
M1_CV,standard_optional_dhw,dummy_most_frequent,0.4,54,30,24,0.5,0.0,0.0,0.0,0.0,30,0,24,0
M1_CV,standard_optional_dhw,dummy_most_frequent,0.5,54,30,24,0.5,0.0,0.0,0.0,0.0,30,0,24,0
M1_CV,standard_optional_dhw,dummy_most_frequent,0.6,54,30,24,0.5,0.0,0.0,0.0,0.0,30,0,24,0
M1_CV,standard_optional_dhw,extra_trees_depth3,0.4,54,30,24,0.325,0.3333333333333333,0.5833333333333334,0.42424242424242425,0.9333333333333333,2,28,10,14
M1_CV,standard_optional_dhw,extra_trees_depth3,0.5,54,30,24,0.5958333333333333,0.7,0.2916666666666667,0.4117647058823529,0.1,27,3,17,7
M1_CV,standard_optional_dhw,extra_trees_depth3,0.6,54,30,24,0.5291666666666667,0.6,0.125,0.20689655172413793,0.06666666666666667,28,2,21,3
M1_CV,standard_optional_dhw,extra_trees_depth5,0.4,54,30,24,0.4,0.36363636363636365,0.5,0.42105263157894735,0.7,9,21,12,12
M1_CV,standard_optional_dhw,extra_trees_depth5,0.5,54,30,24,0.5625,0.5833333333333334,0.2916666666666667,0.3888888888888889,0.16666666666666666,25,5,17,7
M1_CV,standard_optional_dhw,extra_trees_depth5,0.6,54,30,24,0.5291666666666667,0.6,0.125,0.20689655172413793,0.06666666666666667,28,2,21,3
