feature_set,model,threshold,m1_to_m2_balanced_accuracy,m2_to_m1_balanced_accuracy,pooled_balanced_accuracy,min_leave_manufacturer_ba,leave_manufacturer_ba_gap,min_recall,max_normal_fpr,m2_normal_fpr_vs_old_0_60,m2_fpr_improved_vs_old_failure,candidate_pass,decision
common13,hist_gradient_boosting,0.6,0.7380952380952381,0.7076923076923077,0.804909983633388,0.7076923076923077,0.030402930402930406,0.47619047619047616,0.2,0.0,True,False,label_window_recheck_required
common13,random_forest_depth3,0.4,0.7119047619047618,0.6653846153846154,0.8296235679214403,0.6653846153846154,0.046520146520146466,0.7307692307692307,0.43333333333333335,0.43333333333333335,True,False,label_window_recheck_required
common13,extra_trees_depth5,0.5,0.6547619047619048,0.654945054945055,0.7942716857610475,0.6547619047619048,0.0001831501831501825,0.47619047619047616,0.22857142857142856,0.16666666666666666,True,False,label_window_recheck_required
common13,extra_trees_depth5,0.4,0.7095238095238094,0.628021978021978,0.727823240589198,0.628021978021978,0.08150183150183143,0.8846153846153846,0.6285714285714286,0.5333333333333333,True,False,label_window_recheck_required
common13,extra_trees_depth3,0.5,0.7023809523809523,0.6214285714285714,0.7942716857610475,0.6214285714285714,0.08095238095238089,0.5,0.2571428571428571,0.16666666666666666,True,False,label_window_recheck_required
common13,hist_gradient_boosting,0.5,0.7380952380952381,0.6697802197802198,0.8746317512274959,0.6697802197802198,0.0683150183150183,0.47619047619047616,0.3142857142857143,0.0,True,False,label_window_recheck_required
common13,extra_trees_depth3,0.4,0.65,0.5901098901098901,0.6461538461538462,0.5901098901098901,0.0598901098901099,0.9230769230769231,0.7428571428571429,0.7,False,False,label_window_recheck_required
common13,extra_trees_depth5,0.6,0.5547619047619048,0.5483516483516484,0.6518821603927987,0.5483516483516484,0.0064102564102563875,0.14285714285714285,0.05714285714285714,0.03333333333333333,True,False,label_window_recheck_required
common13,extra_trees_depth3,0.6,0.5238095238095238,0.5483516483516484,0.6063829787234043,0.5238095238095238,0.024542124542124566,0.047619047619047616,0.05714285714285714,0.0,True,False,label_window_recheck_required
standard_common_plus_system,extra_trees_depth3,0.6,0.5071428571428571,0.5192307692307693,0.5165302782324059,0.5071428571428571,0.012087912087912156,0.038461538461538464,0.03333333333333333,0.03333333333333333,True,False,label_window_recheck_required
standard_common_plus_system,extra_trees_depth5,0.6,0.5071428571428571,0.5192307692307693,0.5561374795417349,0.5071428571428571,0.012087912087912156,0.038461538461538464,0.03333333333333333,0.03333333333333333,True,False,label_window_recheck_required
standard_optional_dhw,extra_trees_depth5,0.4,0.5303643724696356,0.5333333333333333,0.5719801434087148,0.5303643724696356,0.0029689608636976894,0.6666666666666666,0.6938775510204082,0.631578947368421,False,False,label_window_recheck_required
common13,dummy_most_frequent,0.4,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
common13,dummy_most_frequent,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
common13,dummy_most_frequent,0.6,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_common,dummy_most_frequent,0.4,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_common,dummy_most_frequent,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_common,dummy_most_frequent,0.6,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_common_plus_system,dummy_most_frequent,0.4,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_common_plus_system,dummy_most_frequent,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_common_plus_system,dummy_most_frequent,0.6,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_optional_dhw,dummy_most_frequent,0.4,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_optional_dhw,dummy_most_frequent,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
standard_optional_dhw,dummy_most_frequent,0.6,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,True,False,label_window_recheck_required
common13,logistic_balanced,0.4,0.5571428571428572,0.654945054945055,0.7918166939443535,0.5571428571428572,0.09780219780219779,0.5384615384615384,0.6,0.6,False,False,label_window_recheck_required
standard_optional_dhw,extra_trees_depth3,0.6,0.5384615384615384,0.5,0.5303364589078875,0.5,0.038461538461538436,0.0,0.02040816326530612,0.0,True,False,label_window_recheck_required
standard_optional_dhw,extra_trees_depth5,0.6,0.5384615384615384,0.5,0.570876999448428,0.5,0.038461538461538436,0.0,0.02040816326530612,0.0,True,False,label_window_recheck_required
