evaluation_scope,feature_set,model,threshold,class,precision,recall,f1,support
M1_CV,standard_common,random_forest_depth5,0.4,pre_event,0.4594594594594595,0.6538461538461539,0.5396825396825397,26
M1_CV,standard_common,random_forest_depth5,0.5,normal,0.6176470588235294,0.6,0.6086956521739131,35
M1_CV,standard_common,random_forest_depth5,0.5,pre_event,0.48148148148148145,0.5,0.49056603773584906,26
M1_CV,standard_common,random_forest_depth5,0.6,normal,0.625,0.8571428571428571,0.7228915662650602,35
M1_CV,standard_common,random_forest_depth5,0.6,pre_event,0.6153846153846154,0.3076923076923077,0.41025641025641024,26
M1_CV,standard_common,xgboost_depth3,0.4,normal,0.6451612903225806,0.5714285714285714,0.6060606060606061,35
M1_CV,standard_common,xgboost_depth3,0.4,pre_event,0.5,0.5769230769230769,0.5357142857142857,26
M1_CV,standard_common,xgboost_depth3,0.5,normal,0.6857142857142857,0.6857142857142857,0.6857142857142857,35
M1_CV,standard_common,xgboost_depth3,0.5,pre_event,0.5769230769230769,0.5769230769230769,0.5769230769230769,26
M1_CV,standard_common,xgboost_depth3,0.6,normal,0.6744186046511628,0.8285714285714286,0.7435897435897436,35
M1_CV,standard_common,xgboost_depth3,0.6,pre_event,0.6666666666666666,0.46153846153846156,0.5454545454545454,26
M1_CV,standard_common_plus_system,dummy_most_frequent,0.4,normal,0.5737704918032787,1.0,0.7291666666666666,35
M1_CV,standard_common_plus_system,dummy_most_frequent,0.4,pre_event,0.0,0.0,0.0,26
M1_CV,standard_common_plus_system,dummy_most_frequent,0.5,normal,0.5737704918032787,1.0,0.7291666666666666,35
M1_CV,standard_common_plus_system,dummy_most_frequent,0.5,pre_event,0.0,0.0,0.0,26
M1_CV,standard_common_plus_system,dummy_most_frequent,0.6,normal,0.5737704918032787,1.0,0.7291666666666666,35
M1_CV,standard_common_plus_system,dummy_most_frequent,0.6,pre_event,0.0,0.0,0.0,26
M1_CV,standard_common_plus_system,extra_trees_depth3,0.4,normal,0.14285714285714285,0.02857142857142857,0.047619047619047616,35
M1_CV,standard_common_plus_system,extra_trees_depth3,0.4,pre_event,0.37037037037037035,0.7692307692307693,0.5,26
M1_CV,standard_common_plus_system,extra_trees_depth3,0.5,normal,0.5714285714285714,0.5714285714285714,0.5714285714285714,35
M1_CV,standard_common_plus_system,extra_trees_depth3,0.5,pre_event,0.4230769230769231,0.4230769230769231,0.4230769230769231,26
M1_CV,standard_common_plus_system,extra_trees_depth3,0.6,normal,0.6,0.9428571428571428,0.7333333333333333,35
M1_CV,standard_common_plus_system,extra_trees_depth3,0.6,pre_event,0.6666666666666666,0.15384615384615385,0.25,26
M1_CV,standard_common_plus_system,extra_trees_depth5,0.4,normal,0.3888888888888889,0.2,0.2641509433962264,35
M1_CV,standard_common_plus_system,extra_trees_depth5,0.4,pre_event,0.3488372093023256,0.5769230769230769,0.43478260869565216,26
M1_CV,standard_common_plus_system,extra_trees_depth5,0.5,normal,0.5384615384615384,0.6,0.5675675675675675,35
M1_CV,standard_common_plus_system,extra_trees_depth5,0.5,pre_event,0.36363636363636365,0.3076923076923077,0.3333333333333333,26
M1_CV,standard_common_plus_system,extra_trees_depth5,0.6,normal,0.5849056603773585,0.8857142857142857,0.7045454545454546,35
M1_CV,standard_common_plus_system,extra_trees_depth5,0.6,pre_event,0.5,0.15384615384615385,0.23529411764705882,26
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.4,normal,0.6756756756756757,0.7142857142857143,0.6944444444444444,35
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.4,pre_event,0.5833333333333334,0.5384615384615384,0.56,26
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.5,normal,0.6666666666666666,0.8,0.7272727272727273,35
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.5,pre_event,0.631578947368421,0.46153846153846156,0.5333333333333333,26
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.6,normal,0.6666666666666666,0.9142857142857143,0.7710843373493976,35
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.6,pre_event,0.7692307692307693,0.38461538461538464,0.5128205128205128,26
M1_CV,standard_common_plus_system,lightgbm_depth3,0.4,normal,0.6363636363636364,0.6,0.6176470588235294,35
M1_CV,standard_common_plus_system,lightgbm_depth3,0.4,pre_event,0.5,0.5384615384615384,0.5185185185185185,26
M1_CV,standard_common_plus_system,lightgbm_depth3,0.5,normal,0.6571428571428571,0.6571428571428571,0.6571428571428571,35
M1_CV,standard_common_plus_system,lightgbm_depth3,0.5,pre_event,0.5384615384615384,0.5384615384615384,0.5384615384615384,26
M1_CV,standard_common_plus_system,lightgbm_depth3,0.6,normal,0.6341463414634146,0.7428571428571429,0.6842105263157895,35
M1_CV,standard_common_plus_system,lightgbm_depth3,0.6,pre_event,0.55,0.4230769230769231,0.4782608695652174,26
M1_CV,standard_common_plus_system,logistic_balanced,0.4,normal,0.5625,0.5142857142857142,0.5373134328358209,35
M1_CV,standard_common_plus_system,logistic_balanced,0.4,pre_event,0.41379310344827586,0.46153846153846156,0.43636363636363634,26
M1_CV,standard_common_plus_system,logistic_balanced,0.5,normal,0.5714285714285714,0.5714285714285714,0.5714285714285714,35
M1_CV,standard_common_plus_system,logistic_balanced,0.5,pre_event,0.4230769230769231,0.4230769230769231,0.4230769230769231,26
M1_CV,standard_common_plus_system,logistic_balanced,0.6,normal,0.5789473684210527,0.6285714285714286,0.6027397260273972,35
M1_CV,standard_common_plus_system,logistic_balanced,0.6,pre_event,0.43478260869565216,0.38461538461538464,0.40816326530612246,26
M1_CV,standard_common_plus_system,random_forest_depth3,0.4,normal,0.6363636363636364,0.4,0.49122807017543857,35
M1_CV,standard_common_plus_system,random_forest_depth3,0.4,pre_event,0.46153846153846156,0.6923076923076923,0.5538461538461539,26
M1_CV,standard_common_plus_system,random_forest_depth3,0.5,normal,0.6285714285714286,0.6285714285714286,0.6285714285714286,35
M1_CV,standard_common_plus_system,random_forest_depth3,0.5,pre_event,0.5,0.5,0.5,26
M1_CV,standard_common_plus_system,random_forest_depth3,0.6,normal,0.6274509803921569,0.9142857142857143,0.7441860465116279,35
M1_CV,standard_common_plus_system,random_forest_depth3,0.6,pre_event,0.7,0.2692307692307692,0.3888888888888889,26
M1_CV,standard_common_plus_system,random_forest_depth5,0.4,normal,0.6521739130434783,0.42857142857142855,0.5172413793103449,35
M1_CV,standard_common_plus_system,random_forest_depth5,0.4,pre_event,0.47368421052631576,0.6923076923076923,0.5625,26
M1_CV,standard_common_plus_system,random_forest_depth5,0.5,normal,0.6153846153846154,0.6857142857142857,0.6486486486486487,35
M1_CV,standard_common_plus_system,random_forest_depth5,0.5,pre_event,0.5,0.4230769230769231,0.4583333333333333,26
M1_CV,standard_common_plus_system,random_forest_depth5,0.6,normal,0.625,0.8571428571428571,0.7228915662650602,35
M1_CV,standard_common_plus_system,random_forest_depth5,0.6,pre_event,0.6153846153846154,0.3076923076923077,0.41025641025641024,26
M1_CV,standard_common_plus_system,xgboost_depth3,0.4,normal,0.6333333333333333,0.5428571428571428,0.5846153846153846,35
M1_CV,standard_common_plus_system,xgboost_depth3,0.4,pre_event,0.4838709677419355,0.5769230769230769,0.5263157894736842,26
M1_CV,standard_common_plus_system,xgboost_depth3,0.5,normal,0.7027027027027027,0.7428571428571429,0.7222222222222222,35
M1_CV,standard_common_plus_system,xgboost_depth3,0.5,pre_event,0.625,0.5769230769230769,0.6,26
M1_CV,standard_common_plus_system,xgboost_depth3,0.6,normal,0.6428571428571429,0.7714285714285715,0.7012987012987013,35
M1_CV,standard_common_plus_system,xgboost_depth3,0.6,pre_event,0.5789473684210527,0.4230769230769231,0.4888888888888889,26
M1_CV,standard_optional_dhw,dummy_most_frequent,0.4,normal,0.5555555555555556,1.0,0.7142857142857143,30
M1_CV,standard_optional_dhw,dummy_most_frequent,0.4,pre_event,0.0,0.0,0.0,24
M1_CV,standard_optional_dhw,dummy_most_frequent,0.5,normal,0.5555555555555556,1.0,0.7142857142857143,30
M1_CV,standard_optional_dhw,dummy_most_frequent,0.5,pre_event,0.0,0.0,0.0,24
M1_CV,standard_optional_dhw,dummy_most_frequent,0.6,normal,0.5555555555555556,1.0,0.7142857142857143,30
M1_CV,standard_optional_dhw,dummy_most_frequent,0.6,pre_event,0.0,0.0,0.0,24
M1_CV,standard_optional_dhw,extra_trees_depth3,0.4,normal,0.16666666666666666,0.06666666666666667,0.09523809523809523,30
M1_CV,standard_optional_dhw,extra_trees_depth3,0.4,pre_event,0.3333333333333333,0.5833333333333334,0.42424242424242425,24
M1_CV,standard_optional_dhw,extra_trees_depth3,0.5,normal,0.6136363636363636,0.9,0.7297297297297297,30
M1_CV,standard_optional_dhw,extra_trees_depth3,0.5,pre_event,0.7,0.2916666666666667,0.4117647058823529,24
M1_CV,standard_optional_dhw,extra_trees_depth3,0.6,normal,0.5714285714285714,0.9333333333333333,0.7088607594936709,30
M1_CV,standard_optional_dhw,extra_trees_depth3,0.6,pre_event,0.6,0.125,0.20689655172413793,24
M1_CV,standard_optional_dhw,extra_trees_depth5,0.4,normal,0.42857142857142855,0.3,0.35294117647058826,30
M1_CV,standard_optional_dhw,extra_trees_depth5,0.4,pre_event,0.36363636363636365,0.5,0.42105263157894735,24
M1_CV,standard_optional_dhw,extra_trees_depth5,0.5,normal,0.5952380952380952,0.8333333333333334,0.6944444444444444,30
M1_CV,standard_optional_dhw,extra_trees_depth5,0.5,pre_event,0.5833333333333334,0.2916666666666667,0.3888888888888889,24
M1_CV,standard_optional_dhw,extra_trees_depth5,0.6,normal,0.5714285714285714,0.9333333333333333,0.7088607594936709,30
M1_CV,standard_optional_dhw,extra_trees_depth5,0.6,pre_event,0.6,0.125,0.20689655172413793,24
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.4,normal,0.6551724137931034,0.6333333333333333,0.6440677966101694,30
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.4,pre_event,0.56,0.5833333333333334,0.5714285714285714,24
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.5,normal,0.5833333333333334,0.7,0.6363636363636364,30
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.5,pre_event,0.5,0.375,0.42857142857142855,24
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.6,normal,0.5813953488372093,0.8333333333333334,0.684931506849315,30
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.6,pre_event,0.5454545454545454,0.25,0.34285714285714286,24
M1_CV,standard_optional_dhw,lightgbm_depth3,0.4,normal,0.5555555555555556,0.5,0.5263157894736842,30
M1_CV,standard_optional_dhw,lightgbm_depth3,0.4,pre_event,0.4444444444444444,0.5,0.47058823529411764,24
M1_CV,standard_optional_dhw,lightgbm_depth3,0.5,normal,0.5625,0.6,0.5806451612903226,30
M1_CV,standard_optional_dhw,lightgbm_depth3,0.5,pre_event,0.45454545454545453,0.4166666666666667,0.43478260869565216,24
M1_CV,standard_optional_dhw,lightgbm_depth3,0.6,normal,0.5882352941176471,0.6666666666666666,0.625,30
