evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M1_to_M2,standard_common_plus_system,xgboost_depth3,0.6,51,30,21,0.40476190476190477,0.23076923076923078,0.14285714285714285,0.17647058823529413,0.3333333333333333,20,10,18,3
M1_to_M2,standard_optional_dhw,dummy_most_frequent,0.6,32,19,13,0.5,0.0,0.0,0.0,0.0,19,0,13,0
M1_to_M2,standard_optional_dhw,extra_trees_depth3,0.6,32,19,13,0.5384615384615384,1.0,0.07692307692307693,0.14285714285714285,0.0,19,0,12,1
M1_to_M2,standard_optional_dhw,extra_trees_depth5,0.6,32,19,13,0.5384615384615384,1.0,0.07692307692307693,0.14285714285714285,0.0,19,0,12,1
M1_to_M2,standard_optional_dhw,hist_gradient_boosting,0.6,32,19,13,0.4331983805668016,0.2,0.07692307692307693,0.1111111111111111,0.21052631578947367,15,4,12,1
M1_to_M2,standard_optional_dhw,lightgbm_depth3,0.6,32,19,13,0.6255060728744939,0.6,0.46153846153846156,0.5217391304347826,0.21052631578947367,15,4,7,6
M1_to_M2,standard_optional_dhw,logistic_balanced,0.6,32,19,13,0.5,0.40625,1.0,0.5777777777777777,1.0,0,19,0,13
M1_to_M2,standard_optional_dhw,random_forest_depth3,0.6,32,19,13,0.47368421052631576,0.0,0.0,0.0,0.05263157894736842,18,1,13,0
M1_to_M2,standard_optional_dhw,random_forest_depth5,0.6,32,19,13,0.4858299595141701,0.3333333333333333,0.07692307692307693,0.125,0.10526315789473684,17,2,12,1
M1_to_M2,standard_optional_dhw,xgboost_depth3,0.6,32,19,13,0.44534412955465585,0.2857142857142857,0.15384615384615385,0.2,0.2631578947368421,14,5,11,2
M2_CV,common13,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M2_CV,common13,extra_trees_depth3,0.6,51,30,21,0.5952380952380952,1.0,0.19047619047619047,0.32,0.0,30,0,17,4
M2_CV,common13,extra_trees_depth5,0.6,51,30,21,0.6428571428571428,1.0,0.2857142857142857,0.4444444444444444,0.0,30,0,15,6
M2_CV,common13,hist_gradient_boosting,0.6,51,30,21,0.8142857142857143,0.8,0.7619047619047619,0.7804878048780488,0.13333333333333333,26,4,5,16
M2_CV,common13,lightgbm_depth3,0.6,51,30,21,0.8309523809523809,0.8421052631578947,0.7619047619047619,0.8,0.1,27,3,5,16
M2_CV,common13,logistic_balanced,0.6,51,30,21,0.8642857142857143,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.03333333333333333,29,1,5,16
M2_CV,common13,random_forest_depth3,0.6,51,30,21,0.8238095238095238,0.8823529411764706,0.7142857142857143,0.7894736842105263,0.06666666666666667,28,2,6,15
M2_CV,common13,random_forest_depth5,0.6,51,30,21,0.8238095238095238,0.8823529411764706,0.7142857142857143,0.7894736842105263,0.06666666666666667,28,2,6,15
