evaluation_scope,feature_set,model,threshold,actual,predicted,count
M1_CV,standard_optional_dhw,lightgbm_depth3,0.5,1,0,14
M1_CV,standard_optional_dhw,lightgbm_depth3,0.5,1,1,10
M1_CV,standard_optional_dhw,lightgbm_depth3,0.6,0,0,20
M1_CV,standard_optional_dhw,lightgbm_depth3,0.6,0,1,10
M1_CV,standard_optional_dhw,lightgbm_depth3,0.6,1,0,14
M1_CV,standard_optional_dhw,lightgbm_depth3,0.6,1,1,10
M1_CV,standard_optional_dhw,logistic_balanced,0.4,0,0,18
M1_CV,standard_optional_dhw,logistic_balanced,0.4,0,1,12
M1_CV,standard_optional_dhw,logistic_balanced,0.4,1,0,11
M1_CV,standard_optional_dhw,logistic_balanced,0.4,1,1,13
M1_CV,standard_optional_dhw,logistic_balanced,0.5,0,0,18
M1_CV,standard_optional_dhw,logistic_balanced,0.5,0,1,12
M1_CV,standard_optional_dhw,logistic_balanced,0.5,1,0,11
M1_CV,standard_optional_dhw,logistic_balanced,0.5,1,1,13
M1_CV,standard_optional_dhw,logistic_balanced,0.6,0,0,19
M1_CV,standard_optional_dhw,logistic_balanced,0.6,0,1,11
M1_CV,standard_optional_dhw,logistic_balanced,0.6,1,0,11
M1_CV,standard_optional_dhw,logistic_balanced,0.6,1,1,13
M1_CV,standard_optional_dhw,random_forest_depth3,0.4,0,0,3
M1_CV,standard_optional_dhw,random_forest_depth3,0.4,0,1,27
M1_CV,standard_optional_dhw,random_forest_depth3,0.4,1,0,10
M1_CV,standard_optional_dhw,random_forest_depth3,0.4,1,1,14
M1_CV,standard_optional_dhw,random_forest_depth3,0.5,0,0,21
M1_CV,standard_optional_dhw,random_forest_depth3,0.5,0,1,9
M1_CV,standard_optional_dhw,random_forest_depth3,0.5,1,0,14
M1_CV,standard_optional_dhw,random_forest_depth3,0.5,1,1,10
M1_CV,standard_optional_dhw,random_forest_depth3,0.6,0,0,27
M1_CV,standard_optional_dhw,random_forest_depth3,0.6,0,1,3
M1_CV,standard_optional_dhw,random_forest_depth3,0.6,1,0,18
M1_CV,standard_optional_dhw,random_forest_depth3,0.6,1,1,6
M1_CV,standard_optional_dhw,random_forest_depth5,0.4,0,0,4
M1_CV,standard_optional_dhw,random_forest_depth5,0.4,0,1,26
M1_CV,standard_optional_dhw,random_forest_depth5,0.4,1,0,9
