evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M1_to_M2,standard_common,random_forest_depth5,0.4,51,30,21,0.4809523809523809,0.4,0.7619047619047619,0.5245901639344263,0.8,6,24,5,16
M1_to_M2,standard_common,random_forest_depth5,0.5,51,30,21,0.45714285714285713,0.36363636363636365,0.38095238095238093,0.37209302325581395,0.4666666666666667,16,14,13,8
M1_to_M2,standard_common,random_forest_depth5,0.6,51,30,21,0.4547619047619048,0.3,0.14285714285714285,0.1935483870967742,0.23333333333333334,23,7,18,3
M1_to_M2,standard_common,xgboost_depth3,0.4,51,30,21,0.44285714285714284,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.4,18,12,15,6
M1_to_M2,standard_common,xgboost_depth3,0.5,51,30,21,0.38809523809523805,0.21428571428571427,0.14285714285714285,0.17142857142857143,0.36666666666666664,19,11,18,3
M1_to_M2,standard_common,xgboost_depth3,0.6,51,30,21,0.40476190476190477,0.23076923076923078,0.14285714285714285,0.17647058823529413,0.3333333333333333,20,10,18,3
M1_to_M2,standard_common_plus_system,dummy_most_frequent,0.4,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common_plus_system,dummy_most_frequent,0.5,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common_plus_system,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common_plus_system,extra_trees_depth3,0.4,51,30,21,0.4928571428571428,0.40816326530612246,0.9523809523809523,0.5714285714285714,0.9666666666666667,1,29,1,20
M1_to_M2,standard_common_plus_system,extra_trees_depth3,0.5,51,30,21,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.3888888888888889,0.26666666666666666,22,8,14,7
M1_to_M2,standard_common_plus_system,extra_trees_depth3,0.6,51,30,21,0.5071428571428571,0.5,0.047619047619047616,0.08695652173913043,0.03333333333333333,29,1,20,1
M1_to_M2,standard_common_plus_system,extra_trees_depth5,0.4,51,30,21,0.44999999999999996,0.3783783783783784,0.6666666666666666,0.4827586206896552,0.7666666666666667,7,23,7,14
M1_to_M2,standard_common_plus_system,extra_trees_depth5,0.5,51,30,21,0.4380952380952381,0.2727272727272727,0.14285714285714285,0.1875,0.26666666666666666,22,8,18,3
M1_to_M2,standard_common_plus_system,extra_trees_depth5,0.6,51,30,21,0.5071428571428571,0.5,0.047619047619047616,0.08695652173913043,0.03333333333333333,29,1,20,1
M1_to_M2,standard_common_plus_system,hist_gradient_boosting,0.4,51,30,21,0.44999999999999996,0.35,0.3333333333333333,0.34146341463414637,0.43333333333333335,17,13,14,7
M1_to_M2,standard_common_plus_system,hist_gradient_boosting,0.5,51,30,21,0.4619047619047619,0.3333333333333333,0.19047619047619047,0.24242424242424243,0.26666666666666666,22,8,17,4
M1_to_M2,standard_common_plus_system,hist_gradient_boosting,0.6,51,30,21,0.4380952380952381,0.2727272727272727,0.14285714285714285,0.1875,0.26666666666666666,22,8,18,3
M1_to_M2,standard_common_plus_system,lightgbm_depth3,0.4,51,30,21,0.6190476190476191,0.5454545454545454,0.5714285714285714,0.5581395348837209,0.3333333333333333,20,10,9,12
